DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
2024-02-09 14:50:00,15.0,0.56,1020.92,18.5,65.1,7362.5,11.05
2024-02-09 15:00:00,15.0,0.89,1020.97,18.38,66.07,7227.67,10.68
2024-02-09 15:10:00,15.0,0.93,1021.0,18.14,66.38,6326.0,8.17
2024-02-09 15:20:00,15.0,1.32,1021.06,17.89,67.64,4982.67,5.04
2024-02-09 15:30:00,15.0,1.22,1021.16,17.65,67.97,4904.33,4.98
2024-02-09 15:40:00,15.0,2.15,1021.23,17.57,67.79,5098.42,5.44
2024-02-09 15:50:00,15.0,2.12,1021.29,17.48,68.32,4287.5,3.93
2024-02-09 16:00:00,15.0,1.65,1021.38,17.37,67.7,3602.92,2.78
2024-02-09 16:10:00,15.0,1.72,1021.44,17.27,68.59,3430.58,2.5
2024-02-09 16:20:00,15.0,1.32,1021.57,17.18,69.21,2415.83,1.36
2024-02-09 16:30:00,15.0,1.58,1021.64,17.09,69.79,1938.5,0.9
2024-02-09 16:40:00,15.0,1.71,1021.73,16.91,69.58,1452.0,0.52
2024-02-09 16:50:00,15.0,1.15,1021.78,16.9,69.72,1230.33,0.4
2024-02-09 17:00:00,15.0,1.57,1021.85,16.87,69.16,921.66,0.26
2024-02-09 17:10:00,15.0,0.98,1022.01,16.78,69.81,536.66,0.1
2024-02-09 17:20:00,15.0,1.4,1022.19,16.62,69.96,292.92,0.04
2024-02-09 17:30:00,15.0,0.8,1022.2,16.62,70.28,138.92,0.01
2024-02-09 17:40:00,15.0,0.74,1022.25,16.62,71.23,46.5,0.0
2024-02-10 06:20:00,15.0,0.0,1025.41,13.98,93.65,22.78,0.0
2024-02-10 06:30:00,15.0,0.0,1025.57,13.99,93.3,46.83,0.0
2024-02-10 06:40:00,15.0,0.0,1025.82,14.02,93.87,121.25,0.01
2024-02-10 06:50:00,15.0,0.0,1026.0,13.98,93.45,234.17,0.03
2024-02-10 07:00:00,15.0,0.0,1026.21,13.94,93.28,405.17,0.08
2024-02-10 07:10:00,15.0,0.0,1026.23,13.89,93.13,520.75,0.11
2024-02-10 07:20:00,15.0,0.0,1026.38,13.94,93.09,925.0,0.22
2024-02-10 07:30:00,15.0,0.0,1026.56,13.86,92.63,1262.92,0.46
2024-02-10 07:40:00,15.0,0.0,1026.71,13.8,92.39,1699.0,0.61
2024-02-10 07:50:00,15.0,0.0,1026.76,13.85,92.64,1705.42,0.6
2024-02-10 08:00:00,15.0,0.0,1026.83,13.87,92.43,1760.08,0.61
2024-02-10 08:10:00,15.0,0.02,1027.06,13.98,91.92,2030.25,0.77
2024-02-10 08:20:00,15.0,0.0,1027.1,13.9,91.32,2299.33,0.97
2024-02-10 08:30:00,15.0,0.0,1027.21,14.03,90.83,2537.33,1.16
2024-02-10 08:40:00,15.0,0.0,1027.28,14.02,90.42,2799.33,1.39
2024-02-10 08:50:00,15.0,0.0,1027.4,14.01,89.73,3576.25,2.18
2024-02-10 09:00:00,15.0,0.0,1027.54,14.2,90.54,4366.25,3.5
2024-02-10 09:10:00,15.0,0.0,1027.63,14.51,90.76,5437.17,5.05
2024-02-10 09:20:00,15.0,0.0,1027.76,14.46,89.42,5370.58,5.01
2024-02-10 09:30:00,15.0,0.0,1027.76,14.43,88.23,6886.17,8.07
2024-02-10 09:40:00,15.0,0.0,1027.75,14.69,89.09,8440.33,12.38
2024-02-10 09:50:00,15.0,0.0,1027.75,14.92,88.19,9171.08,15.5
2024-02-10 10:00:00,15.0,0.0,1027.74,15.68,86.47,11578.92,22.57
2024-02-10 10:10:00,15.0,0.0,1027.68,15.97,83.8,10959.25,20.48
2024-02-10 10:20:00,15.0,0.0,1027.67,16.1,82.29,11643.25,23.35
2024-02-10 10:30:00,15.0,0.05,1027.5,16.04,79.86,11986.33,24.73
2024-02-10 10:40:00,15.0,0.0,1027.46,16.07,77.96,11007.67,21.06
2024-02-10 10:50:00,15.0,0.0,1027.39,16.25,79.19,10329.25,18.55
