序號,答案,mask
20240101090001,17.37,0
20240101091001,12.61,0
20240101092001,8.81,0
20240101093001,17.56,0
20240101094001,7.51,0
20240101095001,7.03,0
20240101100001,19.71,0
20240101101001,20.35,0
20240101102001,20.43,0
20240101103001,14.01,0
20240101104001,9.33,0
20240101105001,13.53,0
20240101110001,13.2,0
20240101111001,9.47,0
20240101112001,10.26,0
20240101113001,15.88,0
20240101114001,22.82,0
20240101115001,20.51,0
20240101120001,27.05,0
20240101121001,18.22,0
20240101122001,20.46,0
20240101123001,55.61,0
20240101124001,37.65,0
20240101125001,23.23,0
20240101130001,13.66,0
20240101131001,8.64,0
20240101132001,8.51,0
20240101133001,6.83,0
20240101134001,4.3,0
20240101135001,2.37,0
20240101140001,2.15,0
20240101141001,3.02,0
20240101142001,4.3,0
20240101143001,4.3,0
20240101144001,4.65,0
20240101145001,5.03,0
20240101150001,2.98,0
20240101151001,2.45,0
20240101152001,1.49,0
20240101153001,1.33,0
20240101154001,1.52,0
20240101155001,1.46,0
20240101160001,0.86,0
20240101161001,0.36,0
20240101162001,0.29,0
20240101163001,0.21,0
20240101164001,0.15,0
20240101165001,0.06,0
20240113090001,183.69,1
20240113091001,176.15,1
20240113092001,120.5,1
20240113093001,172.71,1
20240113094001,192.0,1
20240113095001,103.07,1
20240113100001,71.98,1
20240113101001,99.22,1
20240113102001,136.81,1
20240113103001,79.37,1
20240113104001,64.11,1
20240113105001,73.26,1
20240113110001,102.13,1
20240113111001,151.83,1
20240113112001,162.6,1
20240113113001,188.87,1
20240113114001,247.94,1
20240113115001,247.57,1
20240113120001,196.08,1
20240113121001,143.97,1
20240113122001,87.44,1
20240113123001,28.1,1
20240113124001,39.59,1
20240113125001,85.41,1
20240113130001,71.78,1
20240113131001,58.17,1
20240113132001,49.89,1
20240113133001,40.83,1
20240113134001,61.28,1
20240113135001,91.17,1
20240113140001,88.88,1
20240113141001,62.1,1
20240113142001,52.3,1
20240113143001,44.47,1
20240113144001,29.13,1
20240113145001,19.94,1
20240113150001,18.43,1
20240113151001,12.14,1
20240113152001,5.27,1
20240113153001,3.87,1
20240113154001,3.56,1
20240113155001,3.12,1
20240113160001,2.42,1
20240113161001,1.83,1
20240113162001,0.8,1
20240113163001,0.67,1
20240113164001,0.51,1
20240113165001,0.34,1
20240123090001,34.55,0
20240123091001,50.28,0
20240123092001,53.28,0
20240123093001,40.6,0
20240123094001,77.45,0
20240123095001,117.39,0
20240123100001,121.61,0
20240123101001,92.05,0
20240123102001,111.7,0
20240123103001,47.6,0
20240123104001,43.32,0
20240123105001,36.01,0
20240123110001,42.41,0
20240123111001,87.46,0
20240123112001,94.03,0
20240123113001,107.32,0
20240123114001,90.82,0
20240123115001,101.27,0
20240123120001,62.43,0
20240123121001,83.43,0
20240123122001,121.04,0
20240123123001,71.46,0
20240123124001,32.68,0
20240123125001,36.48,0
20240123130001,47.65,0
20240123131001,54.54,0
20240123132001,35.27,0
20240123133001,20.45,0
20240123134001,14.22,0
20240123135001,10.18,0
20240123140001,8.53,0
20240123141001,7.09,0
20240123142001,7.07,0
20240123143001,8.96,0
20240123144001,4.94,0
20240123145001,3.96,0
20240123150001,4.69,0
20240123151001,3.16,0
20240123152001,1.94,0
20240123153001,1.6,0
20240123154001,1.39,0
20240123155001,1.23,0
20240123160001,0.77,0
20240123161001,0.6,0
20240123162001,0.46,0
20240123163001,0.3,0
20240123164001,0.17,0
20240123165001,0.08,0
20240127090001,59.53,0
20240127091001,47.04,0
20240127092001,34.19,0
20240127093001,33.66,0
20240127094001,152.49,0
20240127095001,180.45,0
20240127100001,137.4,0
20240127101001,56.26,0
20240127102001,70.87,0
20240127103001,103.36,0
20240127104001,131.44,0
20240127105001,88.15,0
20240127110001,69.49,0
20240127111001,23.17,0
20240127112001,17.44,0
20240127113001,21.31,0
20240127114001,37.6,0
20240127115001,66.64,0
20240127120001,54.64,0
20240127121001,63.06,0
20240127122001,56.86,0
20240127123001,34.67,0
20240127124001,26.0,0
20240127125001,18.47,0
20240127130001,18.15,0
20240127131001,16.39,0
20240127132001,18.88,0
20240127133001,13.89,0
20240127134001,18.39,0
20240127135001,16.41,0
20240127140001,16.91,0
20240127141001,5.22,0
20240127142001,8.64,0
20240127143001,7.5,0
20240127144001,7.82,0
20240127145001,4.02,0
20240127150001,2.57,0
20240127151001,4.29,0
20240127152001,2.3,0
20240127153001,2.68,0
20240127154001,4.62,0
20240127155001,3.16,0
20240127160001,1.58,0
20240127161001,1.71,0
20240127162001,1.21,0
20240127163001,1.4,0
20240127164001,0.76,0
20240127165001,0.24,0
20240128090001,5.68,1
20240128091001,5.99,1
20240128092001,7.25,1
20240128093001,17.73,1
20240128094001,32.3,1
20240128095001,23.56,1
20240128100001,12.28,1
20240128101001,16.61,1
20240128102001,21.44,1
20240128103001,26.96,1
20240128104001,20.93,1
20240128105001,21.97,1
20240128110001,17.83,1
20240128111001,23.78,1
20240128112001,20.82,1
20240128113001,20.37,1
20240128114001,32.38,1
20240128115001,57.76,1
20240128120001,90.18,1
20240128121001,88.7,1
20240128122001,90.17,1
20240128123001,91.22,1
20240128124001,48.64,1
20240128125001,34.37,1
20240128130001,35.89,1
20240128131001,28.4,1
20240128132001,20.59,1
20240128133001,19.06,1
20240128134001,26.88,1
20240128135001,32.32,1
20240128140001,24.85,1
20240128141001,21.09,1
20240128142001,17.26,1
20240128143001,17.27,1
20240128144001,13.58,1
20240128145001,11.45,1
20240128150001,8.61,1
20240128151001,8.27,1
20240128152001,16.2,1
20240128153001,12.77,1
20240128154001,8.17,1
20240128155001,5.76,1
20240128160001,4.78,1
20240128161001,1.5,1
20240128162001,1.62,1
20240128163001,1.75,1
20240128164001,0.81,1
20240128165001,0.32,1
20240203090001,200.37,0
20240203091001,175.59,0
20240203092001,160.58,0
20240203093001,123.64,0
20240203094001,125.96,0
20240203095001,149.48,0
20240203100001,228.99,0
20240203101001,359.83,0
20240203102001,261.58,0
20240203103001,355.14,0
20240203104001,355.63,0
20240203105001,696.01,0
20240203110001,465.88,0
20240203111001,521.56,0
20240203112001,680.23,0
20240203113001,655.14,0
20240203114001,839.27,0
20240203115001,1116.18,0
20240203120001,883.81,0
20240203121001,1076.94,0
20240203122001,1025.75,0
20240203123001,1273.26,0
20240203124001,1585.71,0
20240203125001,1024.6,0
20240203130001,839.56,0
20240203131001,1193.96,0
20240203132001,279.01,0
20240203133001,174.22,0
20240203134001,100.23,0
20240203135001,37.04,0
20240203140001,24.72,0
20240203141001,9.27,0
20240203142001,5.97,0
20240203143001,5.09,0
20240203144001,2.43,0
20240203145001,4.58,0
20240203150001,5.03,0
20240203151001,6.12,0
20240203152001,4.42,0
20240203153001,4.09,0
20240203154001,8.32,0
20240203155001,5.84,0
20240203160001,2.71,0
20240203161001,2.62,0
20240203162001,2.05,0
20240203163001,2.48,0
20240203164001,3.71,0
20240203165001,5.09,0
20240204090001,142.07,1
20240204091001,283.08,1
20240204092001,181.17,1
20240204093001,148.08,1
20240204094001,223.42,1
20240204095001,173.36,1
20240204100001,172.31,1
20240204101001,202.49,1
20240204102001,463.95,1
20240204103001,832.78,1
20240204104001,835.03,1
20240204105001,995.43,1
20240204110001,1359.65,1
20240204111001,1305.29,1
20240204112001,1148.3,1
20240204113001,911.59,1
20240204114001,652.45,1
20240204115001,519.47,1
20240204120001,646.73,1
20240204121001,793.28,1
20240204122001,992.07,1
20240204123001,328.92,1
20240204124001,245.83,1
20240204125001,245.96,1
20240204130001,156.1,1
20240204131001,74.26,1
20240204132001,130.61,1
20240204133001,131.83,1
20240204134001,103.41,1
20240204135001,109.19,1
20240204140001,56.71,1
20240204141001,29.07,1
20240204142001,42.47,1
20240204143001,20.85,1
20240204144001,12.06,1
20240204145001,25.73,1
20240204150001,24.53,1
20240204151001,12.85,1
20240204152001,13.53,1
20240204153001,9.68,1
20240204154001,25.58,1
20240204155001,41.81,1
20240204160001,25.89,1
20240204161001,6.68,1
20240204162001,1.23,1
20240204163001,1.62,1
20240204164001,1.57,1
20240204165001,1.46,1
20240209090001,15.5,1
20240209091001,25.5,1
20240209092001,45.98,1
20240209093001,66.19,1
20240209094001,71.12,1
20240209095001,69.27,1
20240209100001,82.64,1
20240209101001,94.51,1
20240209102001,102.57,1
20240209103001,150.24,1
20240209104001,148.0,1
20240209105001,37.94,1
20240209110001,63.66,1
20240209111001,270.41,1
20240209112001,319.07,1
20240209113001,372.29,1
20240209114001,475.95,1
20240209115001,511.01,1
20240209120001,308.12,1
20240209121001,176.95,1
20240209122001,336.33,1
20240209123001,354.12,1
20240209124001,222.06,1
20240209125001,102.69,1
20240209130001,110.24,1
20240209131001,102.6,1
20240209132001,77.4,1
20240209133001,51.53,1
20240209134001,36.76,1
20240209135001,31.68,1
20240209140001,25.86,1
20240209141001,35.85,1
20240209142001,34.19,1
20240209143001,31.31,1
20240209144001,27.32,1
20240209145001,19.45,1
20240209150001,16.19,1
20240209151001,11.28,1
20240209152001,7.25,1
20240209153001,6.49,1
20240209154001,4.04,1
20240209155001,2.38,1
20240209160001,1.36,1
20240209161001,1.65,1
20240209162001,1.74,1
20240209163001,1.08,1
20240209164001,0.61,1
20240209165001,0.23,1
20240210090001,5.38,1
20240210091001,6.02,1
20240210092001,9.09,1
20240210093001,10.5,1
20240210094001,13.84,1
20240210095001,14.5,1
20240210100001,19.51,1
20240210101001,22.92,1
20240210102001,23.08,1
20240210103001,23.13,1
20240210104001,26.75,1
20240210105001,19.17,1
20240210110001,25.96,1
20240210111001,28.46,1
20240210112001,27.07,1
20240210113001,27.47,1
20240210114001,31.17,1
20240210115001,36.66,1
20240210120001,40.11,1
20240210121001,35.89,1
20240210122001,32.23,1
20240210123001,34.7,1
20240210124001,28.28,1
20240210125001,32.18,1
20240210130001,31.9,1
20240210131001,33.63,1
20240210132001,34.65,1
20240210133001,31.01,1
20240210134001,33.09,1
20240210135001,30.46,1
20240210140001,26.63,1
20240210141001,25.77,1
20240210142001,27.57,1
20240210143001,21.45,1
20240210144001,23.8,1
20240210145001,15.43,1
20240210150001,21.74,1
20240210151001,22.1,1
20240210152001,14.98,1
20240210153001,12.42,1
20240210154001,10.06,1
20240210155001,6.85,1
20240210160001,5.08,1
20240210161001,2.59,1
20240210162001,1.82,1
20240210163001,0.98,1
20240210164001,0.65,1
20240210165001,0.4,1
20240214090001,1319.36,1
20240214091001,1426.79,1
20240214092001,1532.09,1
20240214093001,1596.71,1
20240214094001,1653.98,1
20240214095001,1707.8,1
20240214100001,1758.06,1
20240214101001,1781.72,1
20240214102001,1798.35,1
20240214103001,1818.27,1
20240214104001,1808.26,1
20240214105001,1792.44,1
20240214110001,1783.4,1
20240214111001,1795.03,1
20240214112001,1798.28,1
20240214113001,1770.24,1
20240214114001,1782.23,1
20240214115001,1775.65,1
20240214120001,1781.42,1
20240214121001,1772.49,1
20240214122001,1752.7,1
20240214123001,1742.72,1
20240214124001,1744.88,1
20240214125001,1760.82,1
20240214130001,1703.12,1
20240214131001,1674.51,1
20240214132001,1687.08,1
20240214133001,1656.67,1
20240214134001,1630.25,1
20240214135001,1560.46,1
20240214140001,1494.34,1
20240214141001,1417.35,1
20240214142001,1333.07,1
20240214143001,1230.09,1
20240214144001,1118.0,1
20240214145001,995.7,1
20240214150001,873.74,1
20240214151001,751.4,1
20240214152001,627.78,1
20240214153001,521.64,1
20240214154001,421.1,1
20240214155001,333.08,1
20240214160001,249.76,1
20240214161001,180.35,1
20240214162001,116.66,1
20240214163001,78.8,1
20240214164001,26.61,1
20240214165001,6.94,1
20240216090001,16.48,0
20240216091001,25.25,0
20240216092001,17.84,0
20240216093001,28.2,0
20240216094001,32.42,0
20240216095001,30.99,0
20240216100001,37.11,0
20240216101001,47.66,0
20240216102001,53.6,0
20240216103001,76.27,0
20240216104001,48.95,0
20240216105001,60.66,0
20240216110001,52.38,0
20240216111001,63.71,0
20240216112001,54.39,0
20240216113001,124.63,0
20240216114001,283.45,0
20240216115001,307.22,0
20240216120001,387.03,0
20240216121001,229.63,0
20240216122001,202.31,0
20240216123001,179.78,0
20240216124001,163.89,0
20240216125001,175.57,0
20240216130001,163.11,0
20240216131001,203.45,0
20240216132001,183.65,0
20240216133001,257.76,0
20240216134001,298.16,0
20240216135001,244.57,0
20240216140001,125.98,0
20240216141001,92.18,0
20240216142001,139.58,0
20240216143001,88.64,0
20240216144001,84.77,0
20240216145001,43.18,0
20240216150001,22.34,0
20240216151001,12.87,0
20240216152001,8.6,0
20240216153001,6.7,0
20240216154001,7.9,0
20240216155001,7.72,0
20240216160001,4.18,0
20240216161001,3.68,0
20240216162001,1.79,0
20240216163001,1.43,0
20240216164001,1.31,0
20240216165001,0.83,0
20240217090001,1082.56,1
20240217091001,245.71,1
20240217092001,1549.47,1
20240217093001,1494.25,1
