序號,答案
20240101090001,490.92
20240101091001,453.83
20240101092001,568.66
20240101093001,488.63
20240101094001,532.04
20240101095001,806.18
20240101100001,692.27
20240101101001,723.64
20240101102001,425.24
20240101103001,332.24
20240101104001,753.29
20240101105001,669.71
20240101110001,511.56
20240101111001,672.08
20240101112001,488.55
20240101113001,535.99
20240101114001,587.15
20240101115001,792.38
20240101120001,738.13
20240101121001,838.32
20240101122001,751.92
20240101123001,711.86
20240101124001,423.26
20240101125001,218.06
20240101130001,218.12
20240101131001,212.24
20240101132001,215.01
20240101133001,234.45
20240101134001,234.45
20240101135001,237.04
20240101140001,104.51
20240101141001,104.96
20240101142001,88.14
20240101143001,87.98
20240101144001,87.98
20240101145001,90.58
20240101150001,11.46
20240101151001,11.91
20240101152001,14.69
20240101153001,7.18
20240101154001,7.95
20240101155001,6.72
20240101160001,13.09
20240101161001,13.54
20240101162001,12.82
20240101163001,12.65
20240101164001,12.65
20240101165001,12.2
20240113090001,216.09
20240113091001,431.97
20240113092001,333.83
20240113093001,584.96
20240113094001,294.54
20240113095001,288.46
20240113100001,506.99
20240113101001,444.83
20240113102001,545.21
20240113103001,449.9
20240113104001,602.87
20240113105001,596.02
20240113110001,812.5
20240113111001,569.78
20240113112001,378.73
20240113113001,557.27
20240113114001,422.69
20240113115001,449.93
20240113120001,117.52
20240113121001,25.19
20240113122001,30.95
20240113123001,-3.72
20240113124001,130.99
20240113125001,170.64
20240113130001,41.35
20240113131001,30.38
20240113132001,53.55
20240113133001,13.09
20240113134001,20.25
20240113135001,85.41
20240113140001,-51.8
20240113141001,41.54
20240113142001,28.94
20240113143001,37.96
20240113144001,5.41
20240113145001,6.78
20240113150001,33.9
20240113151001,30.01
20240113152001,11.51
20240113153001,-5.39
20240113154001,-9.49
20240113155001,-7.97
20240113160001,-7.57
20240113161001,10.01
20240113162001,8.97
20240113163001,-0.24
20240113164001,-0.51
20240113165001,-0.4
20240123090001,37.35
20240123091001,39.3
20240123092001,64.69
20240123093001,102.89
20240123094001,122.36
20240123095001,148.01
20240123100001,144.65
20240123101001,139.8
20240123102001,130.32
20240123103001,92.53
20240123104001,87.97
20240123105001,72.24
20240123110001,71.22
20240123111001,139.6
20240123112001,122.51
20240123113001,148.45
20240123114001,105.62
20240123115001,131.33
20240123120001,86.64
20240123121001,75.29
20240123122001,133.63
20240123123001,63.21
20240123124001,12.95
20240123125001,32.85
20240123130001,44.06
20240123131001,45.46
20240123132001,9.43
20240123133001,9.41
20240123134001,15.86
20240123135001,15.35
20240123140001,7.7
20240123141001,6.55
20240123142001,2.61
20240123143001,9.57
20240123144001,2.93
20240123145001,2.83
20240123150001,6.27
20240123151001,8.92
20240123152001,4.16
20240123153001,-2.54
20240123154001,-0.98
20240123155001,-3.66
20240123160001,-3.96
20240123161001,0.87
20240123162001,-3.81
20240123163001,-2.3
20240123164001,-3.88
20240123165001,-3.98
20240127090001,47.95
20240127091001,50.91
20240127092001,24.58
20240127093001,30.56
20240127094001,179.57
20240127095001,164.9
20240127100001,137.54
20240127101001,67.8
20240127102001,88.11
20240127103001,139.02
20240127104001,145.57
20240127105001,105.88
20240127110001,93.5
20240127111001,34.9
20240127112001,23.44
20240127113001,27.64
20240127114001,48.14
20240127115001,81.49
20240127120001,53.14
20240127121001,70.28
20240127122001,51.62
20240127123001,17.61
20240127124001,26.61
20240127125001,22.57
20240127130001,15.93
20240127131001,14.64
20240127132001,15.11
20240127133001,12.48
20240127134001,20.64
20240127135001,16.66
20240127140001,12.97
20240127141001,5.65
20240127142001,10.61
20240127143001,6.31
20240127144001,7.23
20240127145001,4.14
20240127150001,3.32
20240127151001,3.04
20240127152001,1.17
20240127153001,2.46
20240127154001,2.9
20240127155001,2.51
20240127160001,1.14
20240127161001,1.31
20240127162001,0.73
20240127163001,0.48
20240127164001,-0.36
20240127165001,-0.75
20240128090001,-105.7
20240128091001,16.05
20240128092001,22.52
20240128093001,21.62
20240128094001,30.27
20240128095001,89.72
20240128100001,28.5
20240128101001,22.82
20240128102001,20.74
20240128103001,23.2
20240128104001,36.62
20240128105001,90.64
20240128110001,36.68
20240128111001,84.33
20240128112001,104.35
20240128113001,66.86
20240128114001,76.96
20240128115001,156.07
20240128120001,59.06
20240128121001,20.58
20240128122001,26.79
20240128123001,23.11
20240128124001,23.35
20240128125001,23.43
20240128130001,18.82
20240128131001,19.28
20240128132001,19.61
20240128133001,18.63
20240128134001,18.19
20240128135001,15.48
20240128140001,9.6
20240128141001,10.05
20240128142001,10.39
20240128143001,8.95
20240128144001,11.5
20240128145001,10.19
20240128150001,6.05
20240128151001,6.5
20240128152001,6.83
20240128153001,-1.95
20240128154001,-2.39
20240128155001,-3.7
20240128160001,1.03
20240128161001,1.48
20240128162001,1.82
20240128163001,0.37
20240128164001,-1.94
20240128165001,-3.25
20240203090001,169.64
20240203091001,147.12
20240203092001,171.58
20240203093001,129.61
20240203094001,132.37
20240203095001,165.17
20240203100001,245.95
20240203101001,345.6
20240203102001,308.15
20240203103001,391.02
20240203104001,374.65
20240203105001,648.43
20240203110001,449.18
20240203111001,497.55
20240203112001,717.6
20240203113001,709.01
20240203114001,875.35
20240203115001,1032.22
20240203120001,860.89
20240203121001,1024.94
20240203122001,1002.59
20240203123001,1171.25
20240203124001,1406.43
20240203125001,1147.93
20240203130001,838.85
20240203131001,1098.0
