序號,答案,mask
20240101090001,,0
20240101091001,,0
20240101092001,,0
20240101093001,,0
20240101094001,,0
20240101095001,,0
20240101100001,,0
20240101101001,,0
20240101102001,,0
20240101103001,,0
20240101104001,,0
20240101105001,,0
20240101110001,,0
20240101111001,,0
20240101112001,,0
20240101113001,,0
20240101114001,,0
20240101115001,,0
20240101120001,,0
20240101121001,,0
20240101122001,,0
20240101123001,,0
20240101124001,,0
20240101125001,,0
20240101130001,,0
20240101131001,,0
20240101132001,,0
20240101133001,,0
20240101134001,,0
20240101135001,,0
20240101140001,,0
20240101141001,,0
20240101142001,,0
20240101143001,,0
20240101144001,,0
20240101145001,,0
20240101150001,,0
20240101151001,,0
20240101152001,,0
20240101153001,,0
20240101154001,,0
20240101155001,,0
20240101160001,,0
20240101161001,,0
20240101162001,,0
20240101163001,,0
20240101164001,,0
20240101165001,,0
20240113090001,,1
20240113091001,,1
20240113092001,,1
20240113093001,,1
20240113094001,,1
20240113095001,,1
20240113100001,,1
20240113101001,,1
20240113102001,,1
20240113103001,,1
20240113104001,,1
20240113105001,,1
20240113110001,,1
20240113111001,,1
20240113112001,,1
20240113113001,,1
20240113114001,,1
20240113115001,,1
20240113120001,,1
20240113121001,,1
20240113122001,,1
20240113123001,,1
20240113124001,,1
20240113125001,,1
20240113130001,,1
20240113131001,,1
20240113132001,,1
20240113133001,,1
20240113134001,,1
20240113135001,,1
20240113140001,,1
20240113141001,,1
20240113142001,,1
20240113143001,,1
20240113144001,,1
20240113145001,,1
20240113150001,,1
20240113151001,,1
20240113152001,,1
20240113153001,,1
20240113154001,,1
20240113155001,,1
20240113160001,,1
20240113161001,,1
20240113162001,,1
20240113163001,,1
20240113164001,,1
20240113165001,,1
20240123090001,,0
20240123091001,,0
20240123092001,,0
20240123093001,,0
20240123094001,,0
20240123095001,,0
20240123100001,,0
20240123101001,,0
20240123102001,,0
20240123103001,,0
20240123104001,,0
20240123105001,,0
20240123110001,,0
20240123111001,,0
20240123112001,,0
20240123113001,,0
20240123114001,,0
20240123115001,,0
20240123120001,,0
20240123121001,,0
20240123122001,,0
20240123123001,,0
20240123124001,,0
20240123125001,,0
20240123130001,,0
20240123131001,,0
20240123132001,,0
20240123133001,,0
20240123134001,,0
20240123135001,,0
20240123140001,,0
20240123141001,,0
20240123142001,,0
20240123143001,,0
20240123144001,,0
20240123145001,,0
20240123150001,,0
20240123151001,,0
20240123152001,,0
20240123153001,,0
20240123154001,,0
20240123155001,,0
20240123160001,,0
20240123161001,,0
20240123162001,,0
20240123163001,,0
20240123164001,,0
20240123165001,,0
20240127090001,,0
20240127091001,,0
20240127092001,,0
20240127093001,,0
20240127094001,,0
20240127095001,,0
20240127100001,,0
20240127101001,,0
20240127102001,,0
20240127103001,,0
20240127104001,,0
20240127105001,,0
20240127110001,,0
20240127111001,,0
20240127112001,,0
20240127113001,,0
20240127114001,,0
20240127115001,,0
20240127120001,,0
20240127121001,,0
20240127122001,,0
20240127123001,,0
20240127124001,,0
20240127125001,,0
20240127130001,,0
20240127131001,,0
