iter	RMSE
0	336.29372
1	273.0777792
2	228.9790703
3	203.7919166
4	185.0683153
5	174.7337182
6	167.9696162
7	162.7728591
8	157.0385778
9	153.6248762
10	148.8325713
11	147.5816271
12	145.664554
13	144.2748014
14	141.7063116
15	138.4674578
16	136.5656083
17	133.9639723
18	131.4580812
19	129.2574623
20	127.1131582
21	125.9635477
22	124.3452603
23	123.5051553
24	122.6146718
25	121.7194057
26	119.4967135
27	117.9767263
28	116.7533626
29	114.6841234
30	113.372691
31	111.9779459
32	110.0411758
33	108.7283007
34	107.2298496
35	105.8110154
36	105.2389513
37	103.7518062
38	102.82802
39	102.0278844
40	99.8032373
41	98.03692135
42	96.99649692
43	95.91252941
44	94.97735866
45	93.70518395
46	93.15918949
47	91.74834138
48	90.94365192
49	90.02059375
50	89.0688968
51	88.31848754
52	87.84539871
53	87.10772672
54	86.29848967
55	85.52374969
56	84.89285452
57	83.3369712
58	82.67387609
59	82.30941881
60	81.33891165
61	81.02457567
62	79.90741199
63	79.11193083
64	78.43037836
65	78.04647138
66	77.42358899
67	76.78256122
68	76.27690346
69	75.20607043
70	74.43159035
71	73.81014122
72	73.19782441
73	72.54545046
74	71.96618299
75	71.47571008
76	70.50628666
77	70.18325873
78	69.83787737
79	68.37506343
80	67.9182216
81	67.59887599
82	67.16989303
83	66.84619425
84	66.17307126
85	65.77251139
86	65.26776394
87	64.90517197
88	64.48039254
89	63.93788947
90	63.62905999
91	63.05405992
92	62.77403878
93	61.99024464
94	61.53289642
95	60.80777941
96	60.40805978
97	60.07829157
98	59.91135886
99	59.60638739
