iter	Passed	Remaining
0	1	167
1	3	152
2	4	148
3	6	145
4	7	142
5	9	141
6	10	138
7	11	135
8	13	132
9	14	131
10	16	129
11	17	128
12	18	126
13	20	124
14	21	122
15	23	121
16	24	119
17	25	117
18	27	115
19	28	114
20	29	112
21	31	110
22	32	109
23	33	107
24	35	106
25	36	104
26	38	103
27	39	101
28	40	100
29	42	98
30	43	97
31	45	95
32	46	94
33	47	92
34	49	91
35	50	89
36	51	88
37	53	86
38	54	85
39	55	83
40	57	82
41	58	80
42	60	79
43	61	78
44	62	76
45	64	75
46	65	73
47	66	72
48	67	70
49	69	69
50	70	67
51	72	66
52	73	65
53	74	63
54	76	62
55	77	61
56	78	59
57	80	58
58	81	56
59	83	55
60	84	53
61	85	52
62	87	51
63	88	49
64	89	48
65	90	46
66	92	45
67	93	44
68	94	42
69	96	41
70	97	39
71	98	38
72	99	36
73	101	35
74	102	34
75	103	32
76	105	31
77	106	30
78	107	28
79	109	27
80	110	25
81	111	24
82	113	23
83	114	21
84	115	20
85	116	19
86	118	17
87	119	16
88	120	14
89	121	13
90	123	12
91	124	10
92	125	9
93	127	8
94	128	6
95	129	5
96	131	4
97	132	2
98	133	1
99	135	0
