idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),year,month,day,hour,minute,is_upper,SunlightPred
0,2024-01-26 16:00:00,13.0,0.0,1020.37,22.47,47.96,454.23,5.0,249.0,0.01,2024,1,26,16,0,0,454.23
1,2024-01-30 17:20:00,13.0,0.0,1016.01,23.41,52.46,330.0,5.0,249.0,0.02,2024,1,30,17,20,0,330.0
2,2024-01-30 17:30:00,13.0,0.0,1015.98,22.92,53.97,184.82,5.0,249.0,0.03,2024,1,30,17,30,0,184.82
3,2024-01-30 17:40:00,13.0,0.0,1016.05,22.84,54.03,185.62,5.0,249.0,0.02,2024,1,30,17,40,0,185.62
4,2024-01-30 17:50:00,13.0,0.0,1016.08,22.78,54.15,185.69,5.0,249.0,0.03,2024,1,30,17,50,0,185.69
5,2024-02-01 16:00:00,13.0,1.31,1012.14,25.93,63.28,5063.92,5.0,249.0,5.72,2024,2,32,16,0,0,5063.92
6,2024-02-01 16:10:00,13.0,0.95,1012.25,25.8,64.21,4573.92,5.0,249.0,4.75,2024,2,32,16,10,0,4573.92
7,2024-02-01 16:20:00,13.0,1.1,1012.38,25.58,65.73,4057.75,5.0,249.0,3.84,2024,2,32,16,20,0,4057.75
8,2024-02-01 16:30:00,13.0,2.36,1012.49,25.15,68.73,3396.42,5.0,249.0,2.77,2024,2,32,16,30,0,3396.42
9,2024-02-01 16:40:00,13.0,1.64,1012.51,24.82,70.12,2781.83,5.0,249.0,1.91,2024,2,32,16,40,0,2781.83
10,2024-02-01 16:50:00,13.0,1.54,1012.61,24.68,70.39,2265.0,5.0,249.0,1.32,2024,2,32,16,50,0,2265.0
11,2024-02-01 17:00:00,13.0,0.86,1012.65,24.7,69.43,1740.25,5.0,249.0,0.86,2024,2,32,17,0,0,1740.25
12,2024-02-01 17:10:00,13.0,0.05,1012.72,24.69,69.06,1091.0,5.0,249.0,0.39,2024,2,32,17,10,0,1091.0
13,2024-02-01 17:20:00,13.0,0.18,1012.79,24.38,70.86,623.16,5.0,249.0,0.16,2024,2,32,17,20,0,623.16
14,2024-02-01 17:30:00,13.0,0.65,1012.85,24.14,72.72,289.67,5.0,249.0,0.04,2024,2,32,17,30,0,289.67
15,2024-02-01 17:40:00,13.0,1.43,1012.94,23.79,74.79,89.58,5.0,249.0,0.01,2024,2,32,17,40,0,89.58
16,2024-02-01 17:50:00,13.0,1.07,1013.0,23.67,75.52,24.72,5.0,249.0,0.0,2024,2,32,17,50,0,24.72
17,2024-02-02 06:20:00,13.0,0.0,1014.44,21.03,87.07,45.52,5.0,249.0,0.0,2024,2,33,6,20,0,45.52
18,2024-02-02 06:30:00,13.0,0.0,1014.5,21.12,86.81,205.17,5.0,249.0,0.02,2024,2,33,6,30,0,205.17
19,2024-02-02 06:40:00,13.0,0.73,1014.61,21.13,86.92,633.08,5.0,249.0,0.14,2024,2,33,6,40,0,633.08
20,2024-02-02 06:50:00,13.0,1.03,1014.8,21.36,86.06,1209.75,5.0,249.0,0.42,2024,2,33,6,50,0,1209.75
21,2024-02-02 07:00:00,13.0,0.33,1014.94,21.58,84.94,1883.42,5.0,249.0,0.97,2024,2,33,7,0,0,1883.42
22,2024-02-02 07:10:00,13.0,0.02,1014.99,21.86,83.66,2602.67,5.0,249.0,1.63,2024,2,33,7,10,0,2602.67
23,2024-02-02 07:20:00,13.0,0.3,1015.08,22.12,82.55,3983.92,5.0,249.0,3.56,2024,2,33,7,20,0,3983.92
24,2024-02-02 07:30:00,13.0,0.13,1015.26,22.52,80.91,6143.92,5.0,249.0,8.17,2024,2,33,7,30,0,6143.92
25,2024-02-02 07:40:00,13.0,0.59,1015.32,22.91,79.03,7421.67,5.0,249.0,11.65,2024,2,33,7,40,0,7421.67
26,2024-02-02 07:50:00,13.0,1.38,1015.35,23.02,78.24,9689.17,5.0,249.0,19.27,2024,2,33,7,50,0,9689.17
27,2024-02-02 08:00:00,13.0,0.7,1015.43,23.59,76.39,11441.5,5.0,249.0,26.79,2024,2,33,8,0,0,11441.5
28,2024-02-02 08:10:00,13.0,1.23,1015.39,23.87,75.86,11273.0,5.0,249.0,25.52,2024,2,33,8,10,0,11273.0
