序號,答案
20240117090001,342.86
20240117091001,390.73
20240117092001,375.75
20240117093001,430.15
20240117094001,385.97
20240117095001,243.3
20240117100001,406.69
20240117101001,620.5
20240117102001,596.33
20240117103001,612.45
20240117104001,487.13
20240117105001,377.59
20240117110001,297.45
20240117111001,198.89
20240117112001,157.7
20240117113001,159.71
20240117114001,200.21
20240117115001,185.66
20240117120001,217.75
20240117121001,262.7
20240117122001,392.21
20240117123001,486.14
20240117124001,660.56
20240117125001,671.53
20240117130001,475.16
20240117131001,492.48
20240117132001,673.82
20240117133001,977.45
20240117134001,966.8
20240117135001,913.26
20240117140001,636.95
20240117141001,987.17
20240117142001,645.43
20240117143001,526.57
20240117144001,761.34
20240117145001,842.5
20240117150001,828.74
20240117151001,301.48
20240117152001,163.76
20240117153001,166.64
20240117154001,42.88
20240117155001,36.91
20240117160001,31.31
20240117161001,18.51
20240117162001,14.71
20240117163001,9.13
20240117164001,7.7
20240117165001,6.44
20240119090001,415.04
20240119091001,417.52
20240119092001,437.0
20240119093001,446.47
20240119094001,500.49
20240119095001,543.34
20240119100001,572.15
20240119101001,582.91
20240119102001,612.68
20240119103001,1236.17
20240119104001,1291.76
20240119105001,1181.76
20240119110001,1112.85
20240119111001,1440.31
20240119112001,1182.64
20240119113001,1260.44
20240119114001,1057.43
20240119115001,1379.6
20240119120001,1462.82
20240119121001,783.31
20240119122001,807.57
20240119123001,822.63
20240119124001,751.6
20240119125001,1324.08
20240119130001,1158.05
20240119131001,771.15
20240119132001,1111.84
20240119133001,673.6
20240119134001,577.33
20240119135001,580.87
20240119140001,1125.78
20240119141001,666.35
20240119142001,1068.36
20240119143001,470.01
20240119144001,1018.47
20240119145001,345.32
20240119150001,195.8
20240119151001,153.73
20240119152001,125.31
20240119153001,88.64
20240119154001,82.89
20240119155001,76.71
20240119160001,68.38
20240119161001,61.04
20240119162001,51.11
20240119163001,22.33
20240119164001,25.85
20240119165001,10.67
20240224090001,88.46
20240224091001,102.2
20240224092001,109.6
20240224093001,81.0
20240224094001,81.24
20240224095001,122.08
20240224100001,103.18
20240224101001,137.96
20240224102001,105.18
20240224103001,127.89
20240224104001,108.02
20240224105001,112.31
20240224110001,82.99
20240224111001,88.13
20240224112001,111.85
20240224113001,121.71
20240224114001,142.26
20240224115001,112.78
20240224120001,87.02
20240224121001,84.05
20240224122001,86.5
20240224123001,81.23
20240224124001,80.91
20240224125001,87.81
20240224130001,67.48
20240224131001,51.0
20240224132001,54.39
20240224133001,57.37
20240224134001,56.84
20240224135001,51.74
20240224140001,47.66
20240224141001,45.61
20240224142001,31.21
20240224143001,14.79
20240224144001,8.99
20240224145001,8.24
20240224150001,10.41
20240224151001,10.38
20240224152001,6.69
20240224153001,4.31
20240224154001,3.87
20240224155001,3.49
20240224160001,2.98
20240224161001,1.62
20240224162001,1.0
20240224163001,1.32
20240224164001,0.96
20240224165001,1.14
20240226090001,48.1
20240226091001,55.2
20240226092001,67.62
20240226093001,65.79
20240226094001,69.19
20240226095001,92.78
20240226100001,78.88
20240226101001,83.64
20240226102001,97.75
20240226103001,113.59
20240226104001,135.64
20240226105001,175.45
20240226110001,176.66
20240226111001,166.33
20240226112001,144.06
20240226113001,71.18
20240226114001,57.34
20240226115001,51.18
20240226120001,59.36
20240226121001,37.94
20240226122001,31.56
20240226123001,51.72
20240226124001,58.04
20240226125001,49.85
20240226130001,58.52
20240226131001,67.33
20240226132001,72.69
20240226133001,68.88
20240226134001,65.34
20240226135001,48.59
20240226140001,35.23
20240226141001,26.1
20240226142001,25.06
20240226143001,24.9
20240226144001,21.43
20240226145001,18.65
20240226150001,19.27
20240226151001,19.12
20240226152001,17.74
20240226153001,15.83
20240226154001,17.46
20240226155001,11.85
20240226160001,7.53
20240226161001,6.04
20240226162001,3.7
20240226163001,2.63
20240226164001,1.73
20240226165001,1.61
20240327090001,248.29
20240327091001,270.43
20240327092001,288.06
