序號,答案
20240117090001,218.1
20240117091001,215.35
20240117092001,197.16
20240117093001,234.68
20240117094001,160.7
20240117095001,191.71
20240117100001,205.77
20240117101001,216.09
20240117102001,226.78
20240117103001,334.44
20240117104001,376.33
20240117105001,187.02
20240117110001,502.97
20240117111001,556.56
20240117112001,549.32
20240117113001,528.08
20240117114001,511.91
20240117115001,586.19
20240117120001,220.59
20240117121001,353.67
20240117122001,260.37
20240117123001,265.02
20240117124001,473.86
20240117125001,459.7
20240117130001,323.1
20240117131001,284.75
20240117132001,313.17
20240117133001,801.88
20240117134001,887.29
20240117135001,782.7
20240117140001,915.91
20240117141001,1176.81
20240117142001,586.4
20240117143001,392.11
20240117144001,914.64
20240117145001,1063.1
20240117150001,673.48
20240117151001,223.62
20240117152001,100.38
20240117153001,56.45
20240117154001,50.33
20240117155001,117.41
20240117160001,84.11
20240117161001,25.04
20240117162001,22.86
20240117163001,13.46
20240117164001,7.32
20240117165001,4.37
20240119090001,245.14
20240119091001,339.02
20240119092001,326.63
20240119093001,343.21
20240119094001,421.28
20240119095001,428.22
20240119100001,554.6
20240119101001,532.57
20240119102001,579.32
20240119103001,1194.62
20240119104001,1132.46
20240119105001,1023.88
20240119110001,1307.63
20240119111001,1525.19
20240119112001,1412.93
20240119113001,1300.66
20240119114001,1159.81
20240119115001,1471.4
20240119120001,1658.83
20240119121001,1164.89
20240119122001,1017.02
20240119123001,919.67
20240119124001,869.38
20240119125001,1255.79
20240119130001,1243.75
20240119131001,957.39
20240119132001,1167.96
20240119133001,678.8
20240119134001,466.46
20240119135001,462.24
20240119140001,979.1
20240119141001,686.03
20240119142001,1180.55
20240119143001,573.64
20240119144001,1063.49
20240119145001,308.78
20240119150001,135.09
20240119151001,102.11
20240119152001,115.29
20240119153001,78.3
20240119154001,79.16
20240119155001,78.78
20240119160001,71.68
20240119161001,39.71
20240119162001,33.24
20240119163001,13.95
20240119164001,13.21
20240119165001,5.45
20240224090001,48.86
20240224091001,52.51
20240224092001,36.5
20240224093001,19.63
20240224094001,16.17
20240224095001,27.84
20240224100001,43.42
20240224101001,67.33
20240224102001,50.09
20240224103001,40.03
20240224104001,37.17
20240224105001,49.29
20240224110001,58.52
20240224111001,54.03
20240224112001,67.83
20240224113001,68.21
20240224114001,50.72
20240224115001,55.91
20240224120001,48.53
20240224121001,28.02
20240224122001,46.71
20240224123001,31.9
20240224124001,23.77
20240224125001,45.68
20240224130001,69.81
20240224131001,34.39
20240224132001,43.8
20240224133001,54.83
20240224134001,65.56
20240224135001,57.44
20240224140001,30.31
20240224141001,23.56
20240224142001,20.0
20240224143001,12.08
20240224144001,10.43
20240224145001,6.96
20240224150001,11.62
20240224151001,8.77
20240224152001,6.77
20240224153001,3.47
20240224154001,3.09
20240224155001,2.51
20240224160001,4.24
20240224161001,2.41
20240224162001,2.28
20240224163001,1.97
20240224164001,1.91
20240224165001,1.85
20240226090001,44.24
20240226091001,62.2
20240226092001,83.43
20240226093001,47.9
20240226094001,55.59
20240226095001,45.18
20240226100001,57.32
20240226101001,108.91
20240226102001,96.81
20240226103001,106.02
20240226104001,112.73
20240226105001,122.47
20240226110001,122.24
20240226111001,109.29
20240226112001,94.42
20240226113001,75.5
20240226114001,69.42
20240226115001,63.93
20240226120001,72.89
20240226121001,46.73
20240226122001,31.84
20240226123001,50.26
20240226124001,57.91
20240226125001,47.06
20240226130001,95.96
20240226131001,111.82
20240226132001,130.68
20240226133001,90.45
20240226134001,98.2
20240226135001,89.17
20240226140001,32.79
20240226141001,34.05
20240226142001,28.17
20240226143001,22.17
20240226144001,20.59
20240226145001,20.79
20240226150001,20.07
20240226151001,21.97
20240226152001,19.42
20240226153001,11.15
20240226154001,13.91
20240226155001,9.82
20240226160001,6.63
20240226161001,2.59
20240226162001,2.52
20240226163001,2.5
20240226164001,2.43
20240226165001,0.51
20240327090001,134.21
20240327091001,123.65
20240327092001,122.57
20240327093001,209.63
20240327094001,290.25
20240327095001,398.2
20240327100001,676.57
20240327101001,768.15
20240327102001,800.2
20240327103001,709.6
20240327104001,916.94
20240327105001,862.95
20240327110001,685.78
20240327111001,701.56
20240327112001,492.43
20240327113001,457.14
20240327114001,403.07
20240327115001,327.39
20240327120001,266.09
20240327121001,202.43
20240327122001,230.25
20240327123001,199.11
20240327124001,181.62
20240327125001,160.48
20240327130001,125.26
20240327131001,98.43
20240327132001,79.0
20240327133001,44.63
20240327134001,43.37
20240327135001,33.45
20240327140001,16.53
20240327141001,18.31
20240327142001,18.37
20240327143001,23.12
20240327144001,27.22
20240327145001,23.46
20240327150001,17.38
20240327151001,12.36
20240327152001,13.34
20240327153001,13.37
20240327154001,14.12
20240327155001,14.03
20240327160001,13.34
20240327161001,10.24
20240327162001,10.21
20240327163001,11.09
20240327164001,7.54
20240327165001,2.99
20240329090001,21.76
20240329091001,24.41
20240329092001,14.91
20240329093001,10.61
20240329094001,10.72
20240329095001,9.08
20240329100001,8.67
20240329101001,10.42
20240329102001,8.96
20240329103001,17.38
20240329104001,12.16
20240329105001,12.13
20240329110001,15.57
20240329111001,8.05
20240329112001,8.51
20240329113001,8.28
20240329114001,9.04
20240329115001,23.36
20240329120001,41.32
20240329121001,44.44
20240329122001,55.55
20240329123001,29.89
20240329124001,25.71
20240329125001,30.25
20240329130001,40.22
20240329131001,34.74
20240329132001,44.43
20240329133001,42.51
20240329134001,44.37
20240329135001,37.25
20240329140001,22.14
20240329141001,22.47
20240329142001,25.08
20240329143001,35.09
20240329144001,43.99
20240329145001,30.24
20240329150001,33.51
20240329151001,26.48
20240329152001,23.1
20240329153001,16.06
20240329154001,15.13
20240329155001,10.08
20240329160001,6.96
20240329161001,7.74
20240329162001,5.06
20240329163001,4.77
20240329164001,4.0
20240329165001,2.85
20240428090001,214.83
20240428091001,280.39
20240428092001,157.23
20240428093001,43.49
20240428094001,34.39
20240428095001,25.52
20240428100001,56.11
20240428101001,108.41
20240428102001,431.11
20240428103001,494.61
20240428104001,975.62
20240428105001,574.84
20240428110001,816.31
20240428111001,965.82
20240428112001,912.03
20240428113001,416.95
20240428114001,377.17
20240428115001,359.26
20240428120001,378.49
20240428121001,378.05
20240428122001,296.73
20240428123001,305.01
20240428124001,264.43
20240428125001,157.15
20240428130001,95.13
20240428131001,84.47
20240428132001,81.04
20240428133001,63.66
20240428134001,62.15
20240428135001,54.1
20240428140001,40.01
20240428141001,42.03
20240428142001,49.36
20240428143001,89.33
20240428144001,157.82
20240428145001,147.81
20240428150001,214.93
20240428151001,365.22
20240428152001,246.23
20240428153001,141.22
20240428154001,123.86
20240428155001,134.01
20240428160001,127.19
20240428161001,77.8
20240428162001,48.27
20240428163001,32.88
20240428164001,27.58
20240428165001,23.39
20240430090001,869.46
20240430091001,971.29
20240430092001,935.55
20240430093001,1159.18
20240430094001,1245.08
20240430095001,1141.48
20240430100001,1195.73
20240430101001,1043.29
20240430102001,1171.6
20240430103001,1345.86
20240430104001,1422.85
20240430105001,1304.44
20240430110001,1290.08
20240430111001,1280.47
20240430112001,1421.19
20240430113001,1471.41
20240430114001,1524.35
20240430115001,1427.31
20240430120001,955.69
20240430121001,1320.66
20240430122001,1124.33
20240430123001,1456.56
20240430124001,1159.13
20240430125001,846.29
20240430130001,936.25
20240430131001,1130.11
20240430132001,733.69
20240430133001,1091.0
20240430134001,812.79
20240430135001,734.82
20240430140001,786.69
20240430141001,645.14
20240430142001,450.57
20240430143001,227.74
20240430144001,177.65
20240430145001,225.02
20240430150001,104.05
20240430151001,44.88
20240430152001,68.93
20240430153001,43.39
20240430154001,23.16
20240430155001,17.27
20240430160001,10.76
20240430161001,6.0
20240430162001,8.49
20240430163001,7.53
20240430164001,3.73
20240430165001,4.75
20240515090001,725.62
20240515091001,768.06
20240515092001,761.5
20240515093001,1036.18
20240515094001,957.74
20240515095001,1011.58
20240515100001,956.53
20240515101001,1029.04
20240515102001,1047.17
20240515103001,928.0
20240515104001,809.86
20240515105001,1173.8
20240515110001,1525.17
20240515111001,1266.46
20240515112001,1658.81
20240515113001,1479.6
20240515114001,1440.59
20240515115001,1316.12
20240515120001,1540.3
20240515121001,1757.35
20240515122001,1838.38
20240515123001,1802.07
20240515124001,1176.61
20240515125001,1599.1
20240515130001,1570.38
20240515131001,1612.05
20240515132001,1567.24
20240515133001,909.85
20240515134001,507.96
20240515135001,930.78
20240515140001,536.01
20240515141001,254.28
20240515142001,182.16
20240515143001,175.89
20240515144001,163.33
20240515145001,131.35
20240515150001,118.57
20240515151001,69.17
20240515152001,55.56
20240515153001,44.38
20240515154001,26.57
20240515155001,28.79
20240515160001,34.39
20240515161001,29.75
20240515162001,17.24
20240515163001,11.33
20240515164001,8.03
20240515165001,6.43
20240520090001,440.21
20240520091001,510.02
20240520092001,435.42
20240520093001,352.94
20240520094001,194.05
20240520095001,162.82
20240520100001,268.87
20240520101001,185.85
20240520102001,194.42
20240520103001,196.78
20240520104001,303.51
20240520105001,303.55
20240520110001,335.66
20240520111001,337.52
20240520112001,294.41
20240520113001,260.25
20240520114001,258.56
20240520115001,250.29
20240520120001,423.34
20240520121001,317.75
20240520122001,233.53
20240520123001,165.35
20240520124001,192.29
20240520125001,193.84
20240520130001,184.56
20240520131001,132.63
20240520132001,82.25
20240520133001,53.19
20240520134001,54.15
20240520135001,71.96
20240520140001,85.8
20240520141001,85.58
20240520142001,70.0
20240520143001,96.35
20240520144001,128.4
20240520145001,134.8
20240520150001,147.11
20240520151001,134.58
20240520152001,93.51
20240520153001,61.88
20240520154001,40.86
20240520155001,34.26
20240520160001,33.86
20240520161001,31.71
20240520162001,26.52
20240520163001,26.52
20240520164001,18.87
20240520165001,14.6
20240613090001,40.74
20240613091001,48.15
20240613092001,79.87
20240613093001,93.23
20240613094001,102.7
20240613095001,100.04
20240613100001,126.14
20240613101001,188.62
20240613102001,352.91
20240613103001,348.9
20240613104001,200.77
20240613105001,233.53
20240613110001,648.53
20240613111001,397.81
20240613112001,592.27
20240613113001,1066.12
20240613114001,1240.89
20240613115001,1210.44
20240613120001,1269.84
20240613121001,1186.48
20240613122001,776.02
20240613123001,1250.95
20240613124001,481.76
20240613125001,291.33
20240613130001,1217.32
20240613131001,1063.42
20240613132001,954.18
20240613133001,121.85
20240613134001,673.34
20240613135001,931.21
20240613140001,605.72
20240613141001,239.09
20240613142001,738.61
20240613143001,55.42
20240613144001,46.62
20240613145001,35.63
20240613150001,39.06
20240613151001,67.6
20240613152001,66.77
20240613153001,39.32
20240613154001,66.78
20240613155001,109.17
20240613160001,77.72
20240613161001,31.47
20240613162001,28.3
20240613163001,21.93
20240613164001,20.88
20240613165001,12.39
20240615090001,282.87
20240615091001,343.5
20240615092001,368.07
20240615093001,390.64
20240615094001,458.09
20240615095001,832.52
20240615100001,952.82
20240615101001,1072.48
