
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.15","0.60","0.60","0.81","1.19","1.59","1.26","0.88","0.89","0.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.44"
"02","0.00","0.00","0.00","0.00","0.00","0.00","0.45","1.20","2.22","1.88","1.64","2.41","1.98","2.80","2.42","1.30","0.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.91"
"03","0.00","0.00","0.00","0.00","0.00","0.00","0.37","1.28","2.11","2.86","3.51","3.52","1.95","1.39","1.75","0.95","0.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.06"
"04","0.00","0.00","0.00","0.00","0.00","0.00","0.46","1.22","2.18","2.96","3.59","3.71","3.89","3.14","2.58","1.47","0.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.81"
"05","0.00","0.00","0.00","0.00","0.00","0.00","0.36","1.35","2.19","2.94","3.59","2.89","1.37","1.13","1.35","1.52","0.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.14"
"06","0.00","0.00","0.00","0.00","0.00","0.00","0.34","1.33","2.16","2.93","3.54","3.60","3.07","1.10","1.25","1.41","0.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21.26"
"07","0.00","0.00","0.00","0.00","0.00","0.00","0.04","1.16","2.09","2.51","2.06","1.16","2.10","1.81","1.04","1.36","0.74","0.01","0.00","0.00","0.00","0.00","0.00","0.00","16.08"
"08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.43","0.60","0.74","1.20","1.49","3.16","1.64","1.14","0.60","0.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.38"
"09","0.00","0.00","0.00","0.00","0.00","0.00","0.33","0.80","1.88","2.81","3.46","3.84","1.56","1.34","0.91","1.15","0.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.47"
"10","0.00","0.00","0.00","0.00","0.00","0.00","0.33","1.28","2.14","2.88","3.46","3.63","3.31","2.08","1.94","1.15","0.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.58"
"11","0.00","0.00","0.00","0.00","0.00","0.00","0.29","1.23","2.12","2.84","3.40","3.62","3.49","2.86","2.14","1.56","0.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.67"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.32","0.71","0.60","0.63","0.74","0.93","0.85","0.64","0.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.86"
"13","0.00","0.00","0.00","0.00","0.00","0.00","0.29","1.13","1.61","1.83","1.70","2.76","2.53","2.71","2.07","1.25","0.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.20"
"14","0.00","0.00","0.00","0.00","0.00","0.00","0.31","0.84","0.77","1.35","1.15","1.68","2.01","1.88","0.85","0.64","0.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.21"
"15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.57","0.60","1.11","1.01","1.20","1.27","1.21","0.69","0.60","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.43"
"16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.46","0.60","1.00","1.54","1.92","1.09","0.79","0.60","0.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.69"
"17","0.00","0.00","0.00","0.00","0.00","0.00","0.20","1.27","2.15","2.79","3.28","3.60","3.52","2.89","2.45","1.80","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.45"
"18","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.60","0.98","1.39","0.80","0.75","0.96","0.68","0.62","0.58","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.46"
"19","0.00","0.00","0.00","0.00","0.00","0.00","0.07","0.60","1.03","1.07","1.46","0.84","1.24","1.02","0.82","0.60","0.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.81"
"20","0.00","0.00","0.00","0.00","0.00","0.00","0.22","0.93","2.18","2.88","2.73","2.67","1.94","2.42","1.65","1.28","0.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.32"
"21","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"22","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"23","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"24","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"25","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"26","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"27","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"28","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"29","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"30","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"總和","0.00","0.00","0.00","0.00","0.00","0.00","4.14","17.69","30.78","39.57","44.02","46.84","43.79","35.30","27.98","21.15","7.96","0.01","0.00","0.00","0.00","0.00","0.00","0.00","總和"
