"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.0","0.0","0.0","0.0","0.0","0.0","0.4","1.2","1.8","2.9","2.5","3.6","3.3","3.0","1.8","0.7","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","21.7"
"02","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.5","2.2","2.8","3.4","3.6","3.6","3.5","1.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.3"
"03","0.0","0.0","0.0","0.0","0.0","0.0","0.7","1.5","1.9","2.6","2.5","3.5","3.6","3.3","2.9","2.2","1.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","26.2"
"04","0.0","0.0","0.0","0.0","0.0","0.0","0.6","1.5","2.2","2.9","3.3","3.5","3.6","3.4","2.8","2.1","1.3","0.2","0.0","0.0","0.0","0.0","0.0","0.0","27.400000000000002"
"05","0.0","0.0","0.0","0.0","0.0","0.0","0.6","1.5","2.2","2.9","2.9","2.6","3.5","3.4","2.6","1.8","0.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","24.800000000000004"
"06","0.0","0.0","0.0","0.0","0.0","0.0","0.6","1.5","2.2","2.9","3.3","3.6","3.6","3.3","2.6","2.2","1.1","0.2","0.0","0.0","0.0","0.0","0.0","0.0","27.1"
"07","0.0","0.0","0.0","0.0","0.0","0.0","0.6","1.5","2.2","2.9","2.9","3.6","3.6","3.3","2.7","1.3","0.8","0.2","0.0","0.0","0.0","0.0","0.0","0.0","25.6"
"08","0.0","0.0","0.0","0.0","0.0","0.0","0.4","1.6","2.2","2.9","3.0","3.6","3.6","3.4","2.3","1.6","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","25.1"
"09","0.0","0.0","0.0","0.0","0.0","0.0","0.6","1.5","2.2","2.9","3.2","3.7","3.7","3.1","3.1","1.0","1.4","0.5","0.0","0.0","0.0","0.0","0.0","0.0","26.900000000000002"
"10","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.4","2.2","2.8","3.3","3.5","3.5","3.3","2.6","1.6","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24.800000000000004"
"11","0.0","0.0","0.0","0.0","0.0","0.0","0.4","1.4","2.2","2.9","3.4","3.6","3.6","3.3","1.9","0.7","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","23.9"
"12","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.1","1.8","2.4","3.1","3.3","3.4","3.3","2.3","1.7","0.8","0.2","0.0","0.0","0.0","0.0","0.0","0.0","23.9"
"13","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.8","1.4","2.8","3.3","3.7","3.6","3.1","2.2","1.3","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","23.100000000000005"
"14","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.4","2.2","2.9","3.3","3.5","3.6","3.3","2.6","1.6","1.0","0.6","0.0","0.0","0.0","0.0","0.0","0.0","26.500000000000007"
"15","0.0","0.0","0.0","0.0","0.0","0.0","0.4","1.3","1.9","2.9","2.6","3.5","3.2","2.4","2.3","0.7","0.8","0.3","0.0","0.0","0.0","0.0","0.0","0.0","22.3"
"16","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.5","2.2","2.9","3.3","3.6","3.6","3.4","2.9","1.8","1.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27.199999999999996"
"17","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.4","2.2","2.8","3.3","3.7","3.6","3.3","3.0","1.4","0.8","0.4","0.0","0.0","0.0","0.0","0.0","0.0","26.4"
"18","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.4","2.2","2.9","3.3","3.5","3.5","3.3","2.8","2.0","1.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","26.700000000000003"
"19","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.4","2.2","2.9","3.3","3.5","3.6","3.3","2.9","1.7","0.9","0.3","0.0","0.0","0.0","0.0","0.0","0.0","26.5"
"20","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.4","2.2","2.8","3.1","3.5","3.7","2.8","2.2","1.1","0.8","0.2","0.0","0.0","0.0","0.0","0.0","0.0","24.3"
"21","0.0","0.0","0.0","0.0","0.0","0.0","0.4","1.2","2.4","2.1","3.2","3.4","3.5","2.8","2.9","1.8","0.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","24.500000000000004"
"22","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.4","2.2","2.8","3.3","3.6","3.6","3.3","2.9","2.1","1.2","0.5","0.0","0.0","0.0","0.0","0.0","0.0","27.4"
"23","0.0","0.0","0.0","0.0","0.0","0.0","0.2","1.2","2.0","1.5","0.7","0.8","0.3","2.2","0.8","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.000000000000002"
"24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.4","1.2","0.6","0.4","0.5","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.5999999999999996"
"25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.2","0.4","0.4","0.3","0.4","0.4","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.8000000000000003"
"26","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.5","0.6","0.3","0.7","0.9","0.9","0.6","0.5","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.7"
"27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.5","0.4","0.4","0.1","0.3","0.3","0.3","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","3.1"
"28","0.0","0.0","0.0","0.0","0.0","0.0","0.3","1.1","2.0","2.4","2.5","3.6","3.3","3.3","2.9","2.1","1.4","0.5","0.0","0.0","0.0","0.0","0.0","0.0","25.4"
"29","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.0","0.9","0.7","0.7","2.3","3.4","2.3","0.5","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.4"
"30","0.0","0.0","0.0","0.0","0.0","0.0","0.6","1.4","1.9","2.4","3.4","3.7","3.6","3.3","1.0","0.4","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","22.2"
"31","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.4","2.1","2.7","3.3","3.5","3.6","3.4","2.9","1.9","0.8","0.1","0.0","0.0","0.0","0.0","0.0","0.0","26.2"
"總和","0.0","0.0","0.0","0.0","0.0","0.0","13.4","37.199999999999996","56.7","73.70000000000002","81.50000000000001","93.10000000000001","94.2","86.69999999999999","64.7","38.1","20.799999999999997","5.8999999999999995","0.0","0.0","0.0","0.0","0.0","0.0","總和"
