"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.4","202","0.0","0.00"
"02","1.1","204","0.0","0.00"
"03","1.2","205","0.0","0.00"
"04","0.0","0","0.0","0.00"
"05","0.3","204","0.0","0.00"
"06","1.0","204","0.0","0.00"
"07","0.0","0","0.0","0.00"
"08","2.0","209","0.0","0.40"
"09","2.3","233","0.0","1.20"
"10","2.9","128","0.0","2.00"
"11","4.7","95","0.0","2.70"
"12","4.3","99","0.0","3.10"
"13","5.8","106","0.0","3.10"
"14","5.0","4","0.0","1.00"
"15","4.4","76","0.0","0.80"
"16","3.2","360","0.0","0.50"
"17","2.3","2","0.0","0.20"
"18","1.1","322","0.0","0.00"
"19","0.4","57","0.0","0.00"
"20","0.5","353","0.0","0.00"
"21","0.3","202","0.0","0.00"
"22","0.6","196","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.2","0","0.0","0.00"
