"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.1","25.0","97","0.0","0","1.1","136","0.0","0.00"
"02","1004.6","24.5","98","0.0","0","0.0","0","0.0","0.00"
"03","1003.8","24.3","99","0.1","0","1.5","212","0.0","0.00"
"04","1004.4","24.2","99","0.0","0","1.0","209","0.0","0.00"
"05","1004.5","23.9","100","0.0","0","0.0","0","0.0","0.00"
"06","1005.2","24.0","100","0.0","0","1.0","263","0.0","0.00"
"07","1005.4","25.1","99","0.0","0","0.5","240","0.0","0.10"
"08","1006.0","26.3","92","0.4","231","2.2","209","0.0","0.40"
"09","1006.2","26.0","93","0.0","0","1.7","219","0.0","0.20"
"10","1006.9","25.6","98","0.0","0","1.0","76","1.5","0.10"
"11","1005.7","27.8","92","0.0","0","0.8","218","0.0","1.10"
"12","1005.1","30.7","79","0.6","243","2.7","231","0.0","2.90"
"13","1004.5","31.1","75","0.6","202","2.5","201","0.0","2.40"
"14","1003.9","33.6","62","0.3","151","2.0","274","0.0","2.90"
"15","1003.4","33.1","62","1.0","73","3.3","22","0.0","2.40"
"16","1003.6","30.8","72","0.9","57","3.5","117","0.0","1.40"
"17","1003.4","29.1","83","0.5","55","2.7","22","0.0","0.40"
"18","1003.7","27.5","91","0.0","0","2.1","76","0.0","0.00"
"19","1004.2","26.5","96","0.0","0","0.0","0","0.0","0.00"
"20","1004.6","26.3","96","0.0","0","0.3","300","0.0","0.00"
"21","1005.0","25.8","97","0.0","0","0.3","299","0.0","0.00"
"22","1004.9","26.2","98","0.0","0","0.3","262","0.0","0.00"
"23","1004.7","25.9","98","0.0","0","0.0","0","0.0","0.00"
"24","1003.7","25.3","99","0.0","0","0.0","0","0.0","0.00"
