
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.00","0.00","0.00","0.00","0.00","0.03","0.61","1.88","1.73","2.35","1.53","1.61","1.10","1.66","1.26","0.52","0.24","0.60","0.60","0.50","0.00","0.00","0.00","0.00","16.22"
"02","0.00","0.00","0.00","0.00","0.00","0.19","0.92","1.47","2.01","2.50","3.83","3.59","3.16","1.79","1.25","1.65","1.28","0.61","0.31","0.06","0.00","0.00","0.00","0.00","24.62"
"03","0.00","0.00","0.00","0.00","0.00","0.25","1.02","1.86","3.08","4.18","3.97","3.01","2.35","2.49","1.54","1.59","0.99","0.70","0.21","0.00","0.00","0.00","0.00","0.00","27.24"
"04","0.00","0.00","0.00","0.00","0.01","0.59","0.98","2.06","3.05","4.02","4.03","3.65","4.17","3.89","2.70","1.96","1.30","0.87","0.12","0.00","0.00","0.00","0.00","0.00","33.40"
"05","0.00","0.00","0.00","0.00","0.00","0.15","0.91","2.00","2.97","3.96","3.46","3.61","3.17","2.23","3.03","1.77","1.09","0.66","0.02","0.00","0.00","0.00","0.00","0.00","29.03"
"06","0.00","0.00","0.00","0.00","0.00","0.18","1.09","2.22","2.68","3.21","2.99","2.91","3.34","2.78","1.20","0.60","0.11","0.58","0.20","0.00","0.00","0.00","0.00","0.00","24.09"
"07","0.00","0.00","0.00","0.00","0.00","0.22","0.69","0.92","1.28","1.57","1.46","1.55","1.23","1.29","1.20","0.68","0.60","0.25","0.00","0.00","0.00","0.00","0.00","0.00","12.94"
"08","0.00","0.00","0.00","0.00","0.00","0.16","1.03","1.68","2.05","1.15","1.38","1.13","1.58","0.87","0.61","0.78","1.27","0.74","0.17","0.00","0.00","0.00","0.00","0.00","14.60"
"09","0.00","0.00","0.00","0.00","0.00","0.18","0.96","1.96","1.99","2.30","2.00","2.09","2.08","1.56","0.81","1.12","0.60","0.41","0.00","0.00","0.00","0.00","0.00","0.00","18.06"
"10","0.00","0.00","0.00","0.00","0.00","0.19","0.83","1.26","1.71","1.76","1.97","1.64","1.63","1.80","1.41","0.74","0.60","0.40","0.00","0.00","0.00","0.00","0.00","0.00","15.94"
"11","0.00","0.00","0.00","0.00","0.00","0.17","0.60","1.16","2.58","2.08","1.93","1.27","1.04","1.16","0.78","1.15","0.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.49"
"12","0.00","0.00","0.00","0.00","0.00","0.11","0.94","1.38","2.17","2.55","1.97","3.46","2.02","2.23","2.59","1.27","0.61","0.47","0.00","0.00","0.00","0.00","0.00","0.00","21.77"
"13","0.00","0.00","0.00","0.00","0.00","0.15","0.75","1.80","1.91","2.84","2.86","1.99","1.72","1.77","0.94","0.61","0.87","1.15","0.13","0.00","0.00","0.00","0.00","0.00","19.49"
"14","0.00","0.00","0.00","0.00","0.00","0.14","0.86","2.26","2.36","2.28","1.62","2.31","2.30","1.77","0.58","0.72","0.66","0.60","0.05","0.00","0.00","0.00","0.00","0.00","18.51"
"15","0.00","0.00","0.00","0.00","0.00","0.00","0.45","1.06","2.38","1.49","2.32","1.85","1.20","0.72","1.14","0.96","0.65","0.60","0.04","0.00","0.00","0.00","0.00","0.00","14.86"
"16","0.00","0.00","0.00","0.00","0.00","0.00","0.57","1.08","2.70","2.85","2.37","1.00","1.26","0.98","1.51","0.60","0.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.06"
"17","0.00","0.00","0.00","0.00","0.00","0.21","0.70","1.57","1.69","0.76","1.05","1.39","1.40","1.39","1.49","1.37","0.67","0.52","0.00","0.00","0.00","0.00","0.00","0.00","14.21"
"18","0.00","0.00","0.00","0.00","0.00","0.00","0.58","0.98","1.10","1.20","2.25","2.74","2.18","2.04","2.08","1.70","0.58","0.29","0.00","0.00","0.00","0.00","0.00","0.00","17.72"
"19","0.00","0.00","0.00","0.00","0.00","0.00","0.66","1.07","1.69","1.89","1.47","1.79","1.51","0.92","1.07","1.20","0.69","0.52","0.00","0.00","0.00","0.00","0.00","0.00","14.48"
"20","0.00","0.00","0.00","0.00","0.00","0.02","0.60","1.26","1.86","2.05","2.88","3.81","2.90","2.65","1.35","1.30","0.62","0.20","0.00","0.00","0.00","0.00","0.00","0.00","21.50"
"21","0.00","0.00","0.00","0.00","0.00","0.10","0.74","1.94","2.77","3.59","4.20","4.38","4.06","3.47","2.65","1.16","0.55","0.45","0.00","0.00","0.00","0.00","0.00","0.00","30.06"
"22","0.00","0.00","0.00","0.00","0.00","0.25","0.73","1.91","2.87","3.55","4.15","4.34","4.13","1.69","1.03","0.68","1.19","0.57","0.00","0.00","0.00","0.00","0.00","0.00","27.09"
"23","0.00","0.00","0.00","0.00","0.00","0.10","0.69","1.81","2.66","3.55","2.93","1.41","0.82","1.67","1.56","0.56","0.60","0.20","0.00","0.00","0.00","0.00","0.00","0.00","18.56"
"24","0.00","0.00","0.00","0.00","0.00","0.06","0.51","1.81","2.76","3.56","4.30","4.36","1.83","1.21","0.52","0.64","0.55","0.15","0.00","0.00","0.00","0.00","0.00","0.00","22.26"
"25","0.00","0.00","0.00","0.00","0.00","0.02","0.64","1.78","2.68","2.58","1.33","1.41","1.34","1.44","0.85","0.74","1.11","0.52","0.00","0.00","0.00","0.00","0.00","0.00","16.44"
"26","0.00","0.00","0.00","0.00","0.00","0.06","0.59","1.94","2.67","2.77","2.40","2.21","2.07","1.24","1.52","1.01","1.03","0.63","0.05","0.00","0.00","0.00","0.00","0.00","20.19"
"27","0.00","0.00","0.00","0.00","0.00","0.05","0.63","1.68","2.46","3.28","2.10","1.61","1.29","1.77","1.70","2.52","1.74","0.73","0.00","0.00","0.00","0.00","0.00","0.00","21.56"
"28","0.00","0.00","0.00","0.00","0.00","0.06","0.37","1.86","2.96","3.19","2.66","1.18","0.97","0.63","1.02","0.98","0.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.01"
"29","0.00","0.00","0.00","0.00","0.00","0.00","0.48","1.89","2.71","3.59","4.34","4.25","2.81","1.56","1.07","0.81","0.38","0.03","0.00","0.00","0.00","0.00","0.00","0.00","23.92"
"30","0.00","0.00","0.00","0.00","0.00","0.03","0.32","1.85","2.78","3.59","4.21","4.58","2.35","1.53","1.31","0.85","0.85","0.51","0.00","0.00","0.00","0.00","0.00","0.00","24.76"
"31","0.00","0.00","0.00","0.00","0.00","0.04","0.40","2.00","2.22","1.74","1.31","1.11","1.63","1.97","1.90","1.26","1.90","0.36","0.00","0.00","0.00","0.00","0.00","0.00","17.84"
"總和","0.00","0.00","0.00","0.00","0.01","3.71","21.85","51.40","72.53","81.98","81.27","77.24","64.64","54.17","43.67","33.50","24.17","14.32","1.90","0.56","0.00","0.00","0.00","0.00","總和"
