iter	Passed	Remaining
0	6	689
1	8	415
2	9	322
3	11	275
4	12	245
5	14	225
6	15	211
7	17	199
8	18	189
9	20	181
10	21	174
11	22	168
12	24	163
13	25	158
14	27	154
15	28	150
16	30	146
17	31	143
18	32	140
19	34	137
20	35	134
21	37	131
22	38	129
23	39	126
24	41	123
25	42	121
26	44	119
27	45	116
28	46	114
29	48	112
30	49	110
31	50	108
32	52	106
33	53	104
34	54	101
35	56	100
36	57	98
37	59	96
38	60	94
39	61	92
40	63	90
41	64	89
42	65	87
43	67	85
44	68	83
45	70	82
46	71	80
47	73	79
48	74	77
49	76	76
50	77	74
51	78	72
52	80	71
53	81	69
54	82	67
55	84	66
56	85	64
57	87	63
58	88	61
59	89	59
60	91	58
61	92	56
62	94	55
63	95	53
64	96	52
65	98	50
66	99	49
67	101	47
68	102	46
69	103	44
70	105	42
71	106	41
72	107	39
73	109	38
74	110	36
75	111	35
76	113	33
77	114	32
78	116	30
79	117	29
80	118	27
81	120	26
82	121	24
83	123	23
84	124	21
85	125	20
86	127	19
87	128	17
88	129	16
89	131	14
90	132	13
91	133	11
92	135	10
93	136	8
94	137	7
95	138	5
96	140	4
97	141	2
98	142	1
99	143	0
