,Unnamed: 0,DateTime,Date,Month,Day,Hour,Minute,Weekday,WindSpeed,Pressure,Temperature,Humidity,Sunlight,sum_ele,sum_pos,high,ele,Power,SunlightPred,GlobalRad,Precp
0,0,2024-03-09 14:00:00,68.0,3,9,14,0,5,2.0475,1015.625,17.66,50.185,8406.56,0.0095117420315529,-0.6794692950281973,53.25,1.2246467991473532e-16,15.8375,8406.56,0.3,0.0
1,1,2024-03-09 14:10:00,68.0,3,9,14,10,5,2.473,1015.627,18.101,49.23,10859.834,0.0095088279827476,-0.6785947001513137,53.25,1.2246467991473532e-16,26.701,10859.83,0.3,0.0
2,2,2024-03-09 14:20:00,68.0,3,9,14,20,5,2.029,1015.67,18.472,48.138,11468.333,0.0095059139338616,-0.6777191421026688,53.25,1.2246467991473532e-16,28.807,11468.33,0.3,0.0
3,3,2024-03-09 14:30:00,68.0,3,9,14,30,5,1.864,1015.714,18.238,48.419,9939.416,0.0095029998848949,-0.676842622124996,53.25,1.2246467991473532e-16,22.677,9939.42,0.3,0.0
4,4,2024-03-09 14:40:00,68.0,3,9,14,40,5,1.447,1015.741,18.095,49.461,9616.583,0.0095000858358475,-0.6759651414623952,53.25,1.2246467991473532e-16,21.966,9616.58,0.3,0.0
5,5,2024-03-09 14:50:00,68.0,3,9,14,50,5,2.011,1015.807,18.08,49.80800000000001,10126.166,0.0094971717867194,-0.675086701360329,53.25,1.2246467991473532e-16,23.531,10126.17,0.3,0.0
6,6,2024-03-09 15:00:00,68.0,3,9,15,0,5,2.141,1015.729,17.701,50.622,7186.1669999999995,0.0094942577375106,-0.6742073030656227,53.25,1.2246467991473532e-16,11.668,7186.17,0.3,0.0
7,7,2024-03-09 15:10:00,68.0,3,9,15,10,5,1.289,1015.77,17.631999999999998,51.74300000000001,7220.833,0.0094913436882213,-0.6733269478264611,53.25,1.2246467991473532e-16,11.088,7220.83,0.2833333333333334,0.0
8,8,2024-03-09 15:20:00,68.0,3,9,15,20,5,1.524,1015.803,17.841,51.114999999999995,9976.583,0.0094884296388513,-0.6724456368923873,53.25,1.2246467991473532e-16,23.209,9976.58,0.2666666666666668,0.0
9,9,2024-03-09 15:30:00,68.0,3,9,15,30,5,1.143,1015.691,18.277,49.783,11324.25,0.0094855155894007,-0.6715633715143001,53.25,1.2246467991473532e-16,31.105,11324.25,0.25,0.0
10,10,2024-03-09 15:40:00,68.0,3,9,15,40,5,1.332,1015.736,18.244999999999997,49.531,8738.0,0.0094826015398696,-0.6706801529444547,53.25,1.2246467991473532e-16,17.394,8738.0,0.2333333333333334,0.0
11,11,2024-03-09 15:50:00,68.0,3,9,15,50,5,1.707,1015.706,18.068,49.674,9844.915,0.0094796874902579,-0.6697959824364578,53.25,1.2246467991473532e-16,23.349,9844.91,0.2166666666666667,0.0
12,12,2024-03-09 16:00:00,68.0,3,9,16,0,5,1.464,1015.799,18.008,50.327,8201.833,0.0094767734405658,-0.6689108612452678,53.25,1.2246467991473532e-16,15.776,8201.83,0.2,0.0
13,13,2024-03-09 16:10:00,68.0,3,9,16,10,5,0.994,1015.765,17.922,50.512,7104.084,0.0094738593907931,-0.6680247906271921,53.25,1.2246467991473532e-16,13.098,7104.08,0.1833333333333335,0.0
14,14,2024-03-09 16:20:00,68.0,3,9,16,20,5,0.4519999999999999,1015.717,18.159,50.453,7049.75,0.00947094534094,-0.6671377718398869,53.25,1.2246467991473532e-16,13.229,7049.75,0.1666666666666668,0.0
15,15,2024-03-09 16:30:00,68.0,3,9,16,30,5,0.5309999999999999,1015.719,17.72,51.511,3825.75,0.0094680312910065,-0.6662498061423523,53.25,1.2246467991473532e-16,3.926,3825.75,0.15,0.0
16,16,2024-03-09 16:40:00,68.0,3,9,16,40,5,0.374,1015.687,17.421,52.486,2497.249,0.0094651172409926,-0.6653608947949338,53.25,1.2246467991473532e-16,1.766,2497.25,0.1333333333333335,0.0
17,17,2024-03-09 16:50:00,68.0,3,9,16,50,5,0.157,1015.673,17.067,54.260000000000005,1618.083,0.0094622031908982,-0.6644710390593184,53.25,1.2246467991473532e-16,0.746,1618.08,0.1166666666666668,0.0
18,18,2024-03-10 06:30:00,69.0,3,10,6,30,6,1.289,1018.159,14.325,82.182,808.999,0.0092232508119821,-0.5884119887764728,53.25,1.2246467991473532e-16,0.196,809.0,0.0,0.0
19,19,2024-03-10 06:40:00,69.0,3,10,6,40,6,0.921,1018.247,14.387,82.21900000000001,1273.0,0.0092203367553024,-0.5874482757655847,53.25,1.2246467991473532e-16,0.4629999999999999,1273.0,0.0,0.0
20,20,2024-03-10 06:50:00,69.0,3,10,6,50,6,1.445,1018.403,14.565,81.33500000000001,2261.333,0.0092174226985443,-0.5864837289527367,53.25,1.2246467991473532e-16,1.324,2261.33,0.0,0.0
21,21,2024-03-10 07:00:00,69.0,3,10,7,0,6,1.279,1018.629,14.72,80.52799999999999,2632.001,0.009214508641708,-0.585518349706971,53.25,1.2246467991473532e-16,1.752,2632.0,0.0,0.0
22,22,2024-03-10 07:10:00,69.0,3,10,7,10,6,1.0539999999999998,1018.704,14.869,79.97200000000001,3113.833,0.0092115945847934,-0.5845521393985104,53.25,1.2246467991473532e-16,2.301,3113.83,0.0166666666666666,0.0
23,23,2024-03-10 07:20:00,69.0,3,10,7,20,6,0.8099999999999999,1018.875,15.044,79.2,3417.832,0.0092086805278006,-0.5835850993987575,53.25,1.2246467991473532e-16,2.6420000000000003,3417.83,0.0333333333333333,0.0
24,24,2024-03-10 07:30:00,69.0,3,10,7,30,6,1.166,1019.073,15.072,78.965,3372.0020000000004,0.0092057664707295,-0.5826172310802918,53.25,1.2246467991473532e-16,2.514,3372.0,0.05,0.0
25,25,2024-03-10 07:40:00,69.0,3,10,7,40,6,1.707,1019.204,15.172999999999998,78.249,4441.4169999999995,0.0092028524135803,-0.5816485358168696,53.25,1.2246467991473532e-16,4.351,4441.42,0.0666666666666666,0.0
26,26,2024-03-10 07:50:00,69.0,3,10,7,50,6,1.001,1019.427,15.369,77.894,5285.166,0.009199938356353,-0.5806790149834204,53.25,1.2246467991473532e-16,5.902,5285.17,0.0833333333333333,0.0
