idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW)
0,2024-01-01 06:30:00,1.0,0.0,1016.54,17.5,86.78,50.09,5.0,181.0,0.0
1,2024-01-01 06:40:00,1.0,0.0,1016.59,17.49,86.8,163.25,5.0,181.0,0.02
2,2024-01-01 06:50:00,1.0,0.0,1016.66,17.5,86.95,326.83,5.0,181.0,0.05
3,2024-01-01 07:00:00,1.0,0.0,1016.73,17.5,86.99,470.83,5.0,181.0,0.08
4,2024-01-01 07:10:00,1.0,0.0,1016.77,17.57,86.97,659.67,5.0,181.0,0.14
5,2024-01-01 07:20:00,1.0,0.68,1016.92,17.63,86.18,889.67,5.0,181.0,0.25
6,2024-01-01 07:30:00,1.0,0.61,1016.99,17.74,85.41,1263.83,5.0,181.0,0.45
7,2024-01-01 07:40:00,1.0,0.0,1017.09,17.9,85.41,2136.83,5.0,181.0,1.13
8,2024-01-01 07:50:00,1.0,0.0,1017.27,18.13,85.19,2598.0,5.0,181.0,1.6
9,2024-01-01 08:00:00,1.0,0.0,1017.42,18.29,84.38,2160.17,5.0,181.0,1.18
10,2024-01-01 08:10:00,1.0,0.0,1017.44,18.3,83.79,2424.67,5.0,181.0,1.44
11,2024-01-01 08:20:00,1.0,0.0,1017.55,18.28,84.88,3204.5,5.0,181.0,2.37
12,2024-01-01 08:30:00,1.0,1.83,1017.64,18.23,85.92,4376.42,5.0,181.0,4.18
13,2024-01-01 08:40:00,1.0,0.38,1017.75,18.48,85.48,6681.33,5.0,181.0,9.76
14,2024-01-01 08:50:00,1.0,1.43,1017.91,18.77,87.74,6693.83,5.0,181.0,11.86
15,2024-01-01 09:00:00,1.0,1.92,1017.91,18.33,92.29,8395.25,5.0,181.0,17.37
16,2024-01-01 09:10:00,1.0,0.09,1017.96,18.02,97.37,7046.5,5.0,181.0,12.61
17,2024-01-01 09:20:00,1.0,0.02,1018.16,17.73,99.93,5919.58,5.0,181.0,8.81
18,2024-01-01 09:30:00,1.0,0.02,1018.21,17.9,100.0,8838.92,5.0,181.0,17.56
