DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),year,month,day,hour,minute,is_upper,SunlightPred
2024-03-01 15:40:00,12.0,0.0,1008.9,55.83,38.23,117758.2,1.0,298.0,1664.12,2024,7,184,15,0,1,117716.671875
2024-03-01 15:50:00,12.0,0.0,1005.59,57.11,31.57,117758.2,1.0,298.0,1646.26,2024,7,187,15,0,1,117382.5703125
2024-03-01 16:00:00,12.0,0.13,1015.95,17.3,75.39,2470.83,1.0,298.0,1.26,2024,3,60,16,0,0,2470.83
2024-03-01 16:10:00,12.0,0.16,1015.98,17.02,76.84,2126.67,1.0,298.0,0.88,2024,3,60,16,10,0,2126.67
2024-03-01 16:20:00,12.0,0.3,1016.14,16.67,78.86,1291.75,1.0,298.0,0.37,2024,3,60,16,20,0,1291.75
2024-03-01 16:30:00,12.0,0.15,1016.23,16.58,81.07,1211.33,1.0,298.0,0.33,2024,3,60,16,30,0,1211.33
2024-03-01 16:40:00,12.0,0.41,1016.29,16.36,81.9,1662.58,1.0,298.0,0.58,2024,3,60,16,40,0,1662.58
2024-03-01 16:50:00,12.0,0.47,1016.32,16.06,81.82,1033.42,1.0,298.0,0.25,2024,3,60,16,50,0,1033.42
2024-03-01 17:00:00,12.0,0.12,1016.37,16.08,83.34,608.42,1.0,298.0,0.1,2024,3,60,17,0,0,608.42
2024-03-01 17:10:00,12.0,0.11,1016.61,16.08,83.53,452.83,1.0,298.0,0.07,2024,3,60,17,10,0,452.83
2024-03-01 17:20:00,12.0,0.08,1016.56,16.05,84.4,371.33,1.0,298.0,0.05,2024,3,60,17,20,0,371.33
2024-03-01 17:30:00,12.0,0.0,1016.62,15.93,85.51,201.25,1.0,298.0,0.02,2024,3,60,17,30,0,201.25
2024-03-01 17:40:00,12.0,0.0,1016.63,15.86,85.88,130.5,1.0,298.0,0.01,2024,3,60,17,40,0,130.5
2024-03-01 17:50:00,12.0,0.04,1016.76,15.62,85.8,49.75,1.0,298.0,0.0,2024,3,60,17,50,0,49.75
2024-03-01 18:00:00,12.0,0.0,1016.79,15.6,86.85,25.42,1.0,298.0,0.0,2024,3,60,18,0,0,25.42
2024-03-02 06:00:00,12.0,0.0,1019.44,14.48,86.74,23.75,1.0,298.0,0.0,2024,3,61,6,0,0,23.75
2024-03-02 06:10:00,12.0,0.24,1019.44,14.5,86.87,48.75,1.0,298.0,0.0,2024,3,61,6,10,0,48.75
2024-03-02 06:20:00,12.0,0.35,1019.6,14.47,86.6,94.92,1.0,298.0,0.0,2024,3,61,6,20,0,94.92
2024-03-02 06:30:00,12.0,0.5,1019.62,14.32,86.96,280.67,1.0,298.0,0.04,2024,3,61,6,30,0,280.67
2024-03-02 06:40:00,12.0,0.3,1019.58,14.19,87.42,626.25,1.0,298.0,0.15,2024,3,61,6,40,0,626.25
2024-03-02 06:50:00,12.0,0.36,1019.67,14.25,88.51,1220.75,1.0,298.0,0.44,2024,3,61,6,50,0,1220.75
2024-03-02 07:00:00,12.0,0.08,1019.91,14.52,89.11,2030.08,1.0,298.0,1.2,2024,3,61,7,0,0,2030.08
2024-03-02 07:10:00,12.0,0.45,1019.67,14.52,89.16,2216.42,1.0,298.0,1.57,2024,3,61,7,10,0,2216.42
2024-03-02 07:20:00,12.0,0.3,1019.88,14.34,90.62,1153.08,1.0,298.0,0.38,2024,3,61,7,20,0,1153.08
2024-03-02 07:30:00,12.0,0.03,1019.89,14.3,91.73,1477.58,1.0,298.0,0.55,2024,3,61,7,30,0,1477.58
2024-03-02 07:40:00,12.0,0.0,1020.0,14.45,92.82,3602.75,1.0,298.0,3.22,2024,3,61,7,40,0,3602.75
2024-03-02 07:50:00,12.0,0.0,1020.22,14.28,93.18,2036.5,1.0,298.0,0.97,2024,3,61,7,50,0,2036.5
2024-03-02 08:00:00,12.0,0.07,1020.07,14.47,93.12,4572.83,1.0,298.0,5.56,2024,3,61,8,0,0,4572.83
2024-03-02 08:10:00,12.0,0.19,1020.12,14.92,92.38,7579.25,1.0,298.0,15.52,2024,3,61,8,10,0,7579.25
2024-03-02 08:20:00,12.0,0.17,1020.07,15.32,91.32,7975.25,1.0,298.0,15.91,2024,3,61,8,20,0,7975.25
2024-03-02 08:30:00,12.0,0.04,1020.17,15.64,91.8,7512.5,1.0,298.0,12.63,2024,3,61,8,30,0,7512.5
2024-03-02 08:40:00,12.0,0.0,1020.28,15.38,91.24,4851.5,1.0,298.0,5.54,2024,3,61,8,40,0,4851.5
2024-03-02 08:50:00,12.0,0.0,1020.26,14.99,92.18,4291.92,1.0,298.0,4.18,2024,3,61,8,50,0,4291.92
2024-03-02 09:00:00,12.0,0.16,1020.07,15.24,91.56,7150.83,1.0,298.0,12.72,2024,3,61,9,0,0,7150.83
2024-03-02 09:10:00,12.0,0.05,1020.05,15.81,90.29,10986.67,1.0,298.0,27.27,2024,3,61,9,10,0,10986.67
2024-03-02 09:20:00,12.0,0.4,1020.03,16.14,89.09,11774.5,1.0,298.0,31.21,2024,3,61,9,20,0,11774.5
2024-03-02 09:30:00,12.0,0.25,1020.02,16.54,88.07,11342.83,1.0,298.0,28.82,2024,3,61,9,30,0,11342.83
2024-03-02 09:40:00,12.0,0.03,1019.96,16.51,89.14,9599.67,1.0,298.0,20.17,2024,3,61,9,40,0,9599.67
2024-03-02 09:50:00,12.0,0.03,1019.97,16.95,88.4,12791.58,1.0,298.0,36.16,2024,3,61,9,50,0,12791.58
2024-03-02 10:00:00,12.0,0.2,1019.88,17.04,86.03,12686.08,1.0,298.0,36.43,2024,3,61,10,0,0,12686.08
2024-03-02 10:10:00,12.0,0.0,1019.8,17.55,85.41,12158.75,1.0,298.0,34.72,2024,3,61,10,10,0,12158.75
