DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),year,month,day,hour,minute,SunlightPred
2024-01-01 06:20:00,17.0,0.0,1016.67,43.34,36.45,117758.2,0.0,0.0,1529.16,2024,1,20,10,0,114332.0934999999
2024-01-01 06:30:00,17.0,0.0,1021.06,39.73,45.92,117758.2,0.0,0.0,1397.92,2024,2,32,9,30,113670.31800000006
2024-01-01 06:40:00,17.0,0.0,1020.96,44.5,36.99,117758.2,0.0,0.0,1402.64,2024,2,32,9,50,112384.68700000005
2024-01-01 06:50:00,17.0,0.0,1023.18,17.96,64.16,356.25,0.0,0.0,0.05,2024,1,1,6,50,356.25
2024-01-01 07:00:00,17.0,0.0,1023.2,18.03,65.22,751.17,0.0,0.0,0.18,2024,1,1,7,0,751.17
2024-01-01 07:10:00,17.0,0.0,1023.3,18.1,65.41,866.75,0.0,0.0,0.23,2024,1,1,7,10,866.75
2024-01-01 07:20:00,17.0,0.0,1023.49,18.19,64.81,1055.58,0.0,0.0,0.32,2024,1,1,7,20,1055.58
2024-01-01 07:30:00,17.0,0.0,1023.65,18.15,64.62,932.17,0.0,0.0,0.25,2024,1,1,7,30,932.17
2024-01-01 07:40:00,17.0,0.0,1023.75,18.1,65.4,1042.67,0.0,0.0,0.3,2024,1,1,7,40,1042.67
2024-01-01 07:50:00,17.0,0.0,1023.96,18.1,66.63,1859.83,0.0,0.0,0.89,2024,1,1,7,50,1859.83
2024-01-01 08:00:00,17.0,0.0,1024.0,18.23,67.42,2211.83,0.0,0.0,1.23,2024,1,1,8,0,2211.83
2024-01-01 08:10:00,17.0,0.0,1024.03,18.3,67.15,2844.58,0.0,0.0,1.89,2024,1,1,8,10,2844.58
2024-01-01 08:20:00,17.0,0.0,1024.03,18.38,67.15,3274.67,0.0,0.0,2.51,2024,1,1,8,20,3274.67
2024-01-01 08:30:00,17.0,0.0,1024.21,18.46,66.47,4019.92,0.0,0.0,3.8,2024,1,1,8,30,4019.92
2024-01-01 08:40:00,17.0,0.0,1024.36,18.6,66.7,5415.33,0.0,0.0,6.64,2024,1,1,8,40,5415.33
2024-01-01 08:50:00,17.0,0.0,1024.41,18.89,65.78,5790.42,0.0,0.0,7.6,2024,1,1,8,50,5790.42
2024-01-01 09:00:00,17.0,0.0,1024.42,19.0,65.3,5758.17,0.0,0.0,7.23,2024,1,1,9,0,5758.17
2024-01-01 09:10:00,17.0,0.0,1024.45,19.01,65.15,5778.75,0.0,0.0,7.81,2024,1,1,9,10,5778.75
2024-01-01 09:20:00,17.0,0.0,1024.54,19.15,64.65,7257.17,0.0,0.0,11.54,2024,1,1,9,20,7257.17
2024-01-01 09:30:00,17.0,0.0,1024.62,19.3,64.67,7517.17,0.0,0.0,12.46,2024,1,1,9,30,7517.17
2024-01-01 09:40:00,17.0,0.0,1024.56,19.45,64.39,7619.08,0.0,0.0,13.21,2024,1,1,9,40,7619.08
2024-01-01 09:50:00,17.0,0.0,1024.47,19.65,64.39,11013.58,0.0,0.0,25.53,2024,1,1,9,50,11013.58
2024-01-01 10:00:00,17.0,0.0,1024.31,20.26,63.98,15059.0,0.0,0.0,47.37,2024,1,1,10,0,15059.0
2024-01-01 10:10:00,17.0,0.0,1024.25,20.98,62.44,16462.25,0.0,0.0,58.65,2024,1,1,10,10,16462.25
2024-01-01 10:20:00,17.0,0.0,1024.19,21.49,61.07,15433.92,0.0,0.0,54.15,2024,1,1,10,20,15433.92
2024-01-01 10:30:00,17.0,0.0,1024.13,20.89,60.04,8632.25,0.0,0.0,16.41,2024,1,1,10,30,8632.25
2024-01-01 10:40:00,17.0,0.0,1024.16,20.34,61.9,11667.33,0.0,0.0,30.63,2024,1,1,10,40,11667.33
2024-01-01 10:50:00,17.0,0.0,1024.0,20.4,61.13,11000.0,0.0,0.0,27.1,2024,1,1,10,50,11000.0
2024-01-01 11:00:00,17.0,0.0,1023.82,20.47,61.4,11711.83,0.0,0.0,30.46,2024,1,1,11,0,11711.83
2024-01-01 11:10:00,17.0,0.0,1023.66,20.61,60.28,11893.67,0.0,0.0,31.44,2024,1,1,11,10,11893.67
2024-01-01 11:20:00,17.0,0.0,1023.5,20.55,60.1,9257.0,0.0,0.0,19.45,2024,1,1,11,20,9257.0
2024-01-01 11:30:00,17.0,0.0,1023.25,20.52,61.12,10974.42,0.0,0.0,26.58,2024,1,1,11,30,10974.42
