"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.5","1.4","0.9","1.3","1.8","1.4","0.9","0.4","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.100000000000001"
"02","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.7","0.4","0.5","0.3","0.2","0.4","0.2","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.1"
"03","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.2","0.4","0.6","0.7","0.5","1.0","0.8","0.6","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.199999999999999"
"04","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.5","1.1","1.6","1.9","1.3","1.2","1.2","1.2","0.7","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","11.299999999999999"
"05","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.9","1.8","2.0","3.1","2.7","1.3","0.3","0.3","0.4","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","13.300000000000002"
"06","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.6","1.3","2.9","3.2","1.7","2.2","1.1","0.7","0.3","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","14.299999999999999"
"07","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.6","0.4","1.3","2.8","3.6","1.4","1.1","0.3","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.9"
"08","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.8","1.6","2.4","3.1","2.7","1.8","2.6","1.4","1.4","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","18.5"
"09","0.0","0.0","0.0","0.0","0.0","0.0","0.4","1.4","2.3","2.8","1.5","1.1","0.8","0.3","0.5","0.4","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","11.6"
"10","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.6","1.6","1.3","2.4","3.1","2.6","1.4","1.8","0.7","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","16.3"
