"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","0.5","171","0.0","0.00"
"04","0.0","0","0.0","0.00"
"05","0.4","171","0.0","0.00"
"06","0.4","174","0.0","0.00"
"07","0.9","174","0.0","0.00"
"08","1.1","253","0.0","0.20"
"09","1.6","182","0.0","0.70"
"10","1.8","237","0.0","1.00"
"11","2.5","47","0.0","1.10"
"12","2.3","42","0.0","0.70"
"13","2.5","355","0.0","0.40"
"14","1.9","348","0.0","0.10"
"15","1.7","311","0.0","0.10"
"16","2.4","278","0.0","0.30"
"17","1.4","258","0.0","0.10"
"18","1.4","249","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.9","247","0.0","0.00"
"23","0.6","199","0.0","0.00"
"24","0.8","222","0.0","0.00"
