"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1006.6","26.6","94","0.0","0","0.2","0","0.0","0.00"
"02","1005.9","26.3","94","0.0","0","1.0","216","0.0","0.00"
"03","1005.2","25.7","97","0.0","0","0.0","0","0.0","0.00"
"04","1006.3","25.5","97","0.1","0","0.6","213","0.0","0.00"
"05","1006.1","25.6","97","0.0","0","1.0","249","0.0","0.00"
"06","1005.4","26.1","95","0.0","0","1.5","180","0.0","0.00"
"07","1004.3","27.6","89","0.1","0","1.3","120","0.0","0.40"
"08","1005.5","31.4","70","0.5","271","2.0","261","0.0","1.20"
"09","1005.6","34.1","59","0.4","102","2.7","93","0.0","2.40"
"10","1005.7","34.4","60","0.5","241","2.3","95","0.0","2.10"
"11","1005.9","35.3","59","1.0","60","4.1","324","0.0","3.20"
"12","1005.9","35.4","60","1.0","106","4.2","28","0.0","3.40"
"13","1005.6","35.9","55","0.8","95","4.2","62","0.0","3.50"
"14","1005.5","35.8","57","0.8","118","3.1","40","0.0","2.80"
"15","1005.2","35.7","56","0.7","130","3.5","163","0.0","2.90"
"16","1004.8","33.8","65","0.5","164","3.3","175","0.0","1.80"
"17","1004.9","31.8","72","0.3","180","2.4","99","0.0","0.60"
"18","1005.1","30.8","76","0.0","0","1.6","147","0.0","0.20"
"19","1005.2","29.2","80","0.0","0","1.4","216","0.0","0.00"
"20","1005.6","28.5","85","0.0","0","0.4","142","0.0","0.00"
"21","1006.3","28.0","89","0.0","0","0.0","0","0.0","0.00"
"22","1006.7","27.7","91","0.0","0","0.0","0","0.0","0.00"
"23","1006.1","27.3","93","0.0","0","0.0","0","0.0","0.00"
"24","1005.9","26.8","94","0.0","0","0.0","0","0.0","0.00"
