
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.68","1.70","2.68","3.39","3.60","3.61","3.58","2.97","2.17","1.16","0.16","0.00","0.00","0.00","0.00","0.00","0.00","25.70"
"02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.76","1.68","2.70","3.48","3.86","4.04","3.60","3.12","2.20","1.07","0.16","0.00","0.00","0.00","0.00","0.00","0.00","26.67"
"03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.73","1.80","2.75","3.47","3.91","4.20","3.62","3.15","2.23","1.21","0.19","0.00","0.00","0.00","0.00","0.00","0.00","27.26"
"04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.82","2.12","2.60","3.25","3.15","2.06","0.66","0.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.91"
"05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.16","0.54","1.01","1.15","1.75","0.94","1.18","0.80","0.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.82"
"06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.75","1.87","2.80","3.56","3.62","3.11","3.36","3.32","2.85","1.65","0.30","0.00","0.00","0.00","0.00","0.00","0.00","27.19"
"07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.15","0.85","2.13","2.27","1.25","0.87","1.09","0.98","0.85","0.24","0.00","0.00","0.00","0.00","0.00","0.00","10.69"
"08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.15","0.39","0.75","0.93","0.79","0.69","0.04","0.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.82"
"09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.33","1.26","2.96","3.64","2.19","1.31","0.66","0.70","0.28","0.07","0.00","0.00","0.00","0.00","0.00","0.00","13.40"
"10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.13","0.60","1.60","2.59","3.23","2.69","3.63","3.55","2.46","1.37","0.31","0.00","0.00","0.00","0.00","0.00","0.00","22.16"
"11","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.91","2.04","2.95","3.70","4.19","4.19","4.01","3.31","2.47","1.36","0.24","0.00","0.00","0.00","0.00","0.00","0.00","29.40"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.83","1.95","2.89","3.65","4.19","4.19","3.96","3.33","2.45","1.35","0.25","0.00","0.00","0.00","0.00","0.00","0.00","29.04"
"13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.82","1.93","2.85","3.60","4.19","4.19","3.59","3.30","2.41","1.35","0.24","0.00","0.00","0.00","0.00","0.00","0.00","28.47"
