idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW)
0,2024-01-26 16:00:00,13.0,0.0,1020.37,22.47,47.96,454.23,5.0,249.0,0.01
1,2024-01-30 17:20:00,13.0,0.0,1016.01,23.41,52.46,330.0,5.0,249.0,0.02
2,2024-01-30 17:30:00,13.0,0.0,1015.98,22.92,53.97,184.82,5.0,249.0,0.03
3,2024-01-30 17:40:00,13.0,0.0,1016.05,22.84,54.03,185.62,5.0,249.0,0.02
4,2024-01-30 17:50:00,13.0,0.0,1016.08,22.78,54.15,185.69,5.0,249.0,0.03
5,2024-02-01 16:00:00,13.0,1.31,1012.14,25.93,63.28,5063.92,5.0,249.0,5.72
6,2024-02-01 16:10:00,13.0,0.95,1012.25,25.8,64.21,4573.92,5.0,249.0,4.75
7,2024-02-01 16:20:00,13.0,1.1,1012.38,25.58,65.73,4057.75,5.0,249.0,3.84
8,2024-02-01 16:30:00,13.0,2.36,1012.49,25.15,68.73,3396.42,5.0,249.0,2.77
9,2024-02-01 16:40:00,13.0,1.64,1012.51,24.82,70.12,2781.83,5.0,249.0,1.91
10,2024-02-01 16:50:00,13.0,1.54,1012.61,24.68,70.39,2265.0,5.0,249.0,1.32
11,2024-02-01 17:00:00,13.0,0.86,1012.65,24.7,69.43,1740.25,5.0,249.0,0.86
12,2024-02-01 17:10:00,13.0,0.05,1012.72,24.69,69.06,1091.0,5.0,249.0,0.39
13,2024-02-01 17:20:00,13.0,0.18,1012.79,24.38,70.86,623.16,5.0,249.0,0.16
14,2024-02-01 17:30:00,13.0,0.65,1012.85,24.14,72.72,289.67,5.0,249.0,0.04
15,2024-02-01 17:40:00,13.0,1.43,1012.94,23.79,74.79,89.58,5.0,249.0,0.01
16,2024-02-01 17:50:00,13.0,1.07,1013.0,23.67,75.52,24.72,5.0,249.0,0.0
17,2024-02-02 06:20:00,13.0,0.0,1014.44,21.03,87.07,45.52,5.0,249.0,0.0
18,2024-02-02 06:30:00,13.0,0.0,1014.5,21.12,86.81,205.17,5.0,249.0,0.02
19,2024-02-02 06:40:00,13.0,0.73,1014.61,21.13,86.92,633.08,5.0,249.0,0.14
20,2024-02-02 06:50:00,13.0,1.03,1014.8,21.36,86.06,1209.75,5.0,249.0,0.42
21,2024-02-02 07:00:00,13.0,0.33,1014.94,21.58,84.94,1883.42,5.0,249.0,0.97
22,2024-02-02 07:10:00,13.0,0.02,1014.99,21.86,83.66,2602.67,5.0,249.0,1.63
23,2024-02-02 07:20:00,13.0,0.3,1015.08,22.12,82.55,3983.92,5.0,249.0,3.56
24,2024-02-02 07:30:00,13.0,0.13,1015.26,22.52,80.91,6143.92,5.0,249.0,8.17
25,2024-02-02 07:40:00,13.0,0.59,1015.32,22.91,79.03,7421.67,5.0,249.0,11.65
26,2024-02-02 07:50:00,13.0,1.38,1015.35,23.02,78.24,9689.17,5.0,249.0,19.27
27,2024-02-02 08:00:00,13.0,0.7,1015.43,23.59,76.39,11441.5,5.0,249.0,26.79
28,2024-02-02 08:10:00,13.0,1.23,1015.39,23.87,75.86,11273.0,5.0,249.0,25.52
29,2024-02-02 08:20:00,13.0,1.42,1015.37,23.76,76.25,12591.42,5.0,249.0,32.02
30,2024-02-02 08:30:00,13.0,0.61,1015.49,23.96,75.49,10292.92,5.0,249.0,21.88
31,2024-02-02 08:40:00,13.0,0.93,1015.54,24.47,73.54,12056.5,5.0,249.0,30.23
32,2024-02-02 08:50:00,13.0,0.74,1015.64,24.93,71.46,15073.42,5.0,249.0,47.14
