idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),year,month,day,hour,minute,is_upper,SunlightPred
0,2024-05-14 16:50:00,6.0,0.22,1007.62,25.6,63.3,5998.0,5.0,208.0,8.47,2024,5,134,16,50,0,5998.0
1,2024-05-14 17:00:00,6.0,0.45,1007.77,25.36,64.63,4886.33,5.0,208.0,5.63,2024,5,134,17,0,0,4886.33
2,2024-05-14 17:10:00,6.0,0.54,1008.0,24.96,67.08,2893.83,5.0,208.0,1.89,2024,5,134,17,10,0,2893.83
3,2024-05-14 17:20:00,6.0,0.37,1008.01,24.64,68.68,1971.33,5.0,208.0,0.93,2024,5,134,17,20,0,1971.33
4,2024-05-14 17:30:00,6.0,0.45,1008.09,24.6,69.75,2304.83,5.0,208.0,1.32,2024,5,134,17,30,0,2304.83
5,2024-05-14 17:40:00,6.0,0.41,1008.21,24.55,69.94,1878.67,5.0,208.0,1.04,2024,5,134,17,40,0,1878.67
6,2024-05-14 17:50:00,6.0,0.41,1008.26,24.41,69.85,1283.75,5.0,208.0,0.48,2024,5,134,17,50,0,1283.75
7,2024-05-14 18:00:00,6.0,0.32,1008.36,24.25,70.64,564.08,5.0,208.0,0.08,2024,5,134,18,0,0,564.08
8,2024-05-14 18:10:00,6.0,0.48,1008.4,24.09,71.28,490.75,5.0,208.0,0.07,2024,5,134,18,10,0,490.75
9,2024-05-14 18:20:00,6.0,0.46,1008.49,23.98,71.96,251.58,5.0,208.0,0.02,2024,5,134,18,20,0,251.58
10,2024-05-14 18:30:00,6.0,0.51,1008.35,23.83,72.3,80.67,5.0,208.0,0.0,2024,5,134,18,30,0,80.67
11,2024-05-14 18:40:00,6.0,1.09,1007.92,23.44,72.57,22.5,5.0,208.0,0.0,2024,5,134,18,40,0,22.5
12,2024-05-15 04:50:00,6.0,0.0,1008.44,22.0,86.68,27.08,5.0,208.0,0.0,2024,5,135,4,50,0,27.08
13,2024-05-15 05:00:00,6.0,0.0,1008.46,21.96,86.76,106.33,5.0,208.0,0.01,2024,5,135,5,0,0,106.33
14,2024-05-15 05:10:00,6.0,0.0,1008.48,21.92,86.75,414.42,5.0,208.0,0.07,2024,5,135,5,10,0,414.42
15,2024-05-15 05:20:00,6.0,0.0,1008.6,22.1,86.29,1171.42,5.0,208.0,0.38,2024,5,135,5,20,0,1171.42
16,2024-05-15 05:30:00,6.0,0.0,1008.7,22.53,84.49,2386.83,5.0,208.0,1.4,2024,5,135,5,30,0,2386.83
17,2024-05-15 05:40:00,6.0,0.0,1008.74,23.16,82.19,3949.75,5.0,208.0,3.38,2024,5,135,5,40,0,3949.75
18,2024-05-15 05:50:00,6.0,0.0,1008.87,23.87,79.48,6327.58,5.0,208.0,8.11,2024,5,135,5,50,0,6327.58
19,2024-05-15 06:00:00,6.0,0.0,1009.01,24.77,75.8,7842.92,5.0,208.0,11.29,2024,5,135,6,0,0,7842.92
20,2024-05-15 06:10:00,6.0,0.0,1009.16,27.0,67.49,9661.42,5.0,208.0,17.7,2024,5,135,6,10,0,9661.42
21,2024-05-15 06:20:00,6.0,0.0,1009.26,32.29,51.2,11027.5,5.0,208.0,19.92,2024,5,135,6,20,0,11027.5
22,2024-05-15 06:30:00,6.0,0.0,1009.34,36.12,40.92,12158.17,5.0,208.0,21.07,2024,5,135,6,30,0,12158.17
23,2024-05-15 06:40:00,6.0,0.0,1009.42,36.76,37.98,11151.83,5.0,208.0,18.77,2024,5,135,6,40,0,11151.83
24,2024-05-15 06:50:00,6.0,0.0,1009.45,37.99,35.15,13575.08,5.0,208.0,32.63,2024,5,135,6,50,0,13575.08
25,2024-05-15 07:00:00,6.0,0.09,1009.58,39.43,31.48,15279.42,5.0,208.0,45.74,2024,5,135,7,0,0,15279.42
26,2024-05-15 07:10:00,6.0,0.0,1009.65,38.09,33.33,16343.5,5.0,208.0,50.14,2024,5,135,7,10,0,16343.5
27,2024-05-15 07:20:00,6.0,0.02,1009.74,38.09,33.33,28970.75,5.0,208.0,84.08,2024,5,135,7,20,0,28970.75
28,2024-05-15 07:30:00,6.0,0.16,1009.78,39.55,29.91,40715.9,5.0,208.0,134.34,2024,5,135,7,30,0,40715.9
29,2024-05-15 07:40:00,6.0,0.03,1009.89,42.47,25.06,51339.95,5.0,208.0,241.49,2024,5,135,7,40,0,51339.95
30,2024-05-15 07:50:00,6.0,0.0,1009.87,42.8,24.05,44240.87,5.0,208.0,208.64,2024,5,135,7,50,0,44240.87
31,2024-05-15 08:00:00,6.0,0.07,1009.86,42.9,23.51,55024.8,5.0,208.0,311.36,2024,5,135,8,0,0,55024.8
32,2024-05-15 08:10:00,6.0,0.19,1009.84,43.43,22.12,61199.04,5.0,208.0,390.74,2024,5,135,8,10,0,61199.04
33,2024-05-15 08:20:00,6.0,0.1,1009.81,44.29,21.38,69080.68,5.0,208.0,509.4,2024,5,135,8,20,0,69080.68
34,2024-05-15 08:30:00,6.0,0.03,1009.94,45.34,19.65,75512.77,5.0,208.0,618.05,2024,5,135,8,30,0,75512.77
35,2024-05-15 08:40:00,6.0,0.02,1009.82,46.7,17.93,82983.28,5.0,208.0,751.38,2024,5,135,8,40,0,82983.28
36,2024-05-15 08:50:00,6.0,0.08,1009.74,45.94,18.16,86003.83,5.0,208.0,732.01,2024,5,135,8,50,0,86003.83
37,2024-05-15 09:00:00,6.0,0.14,1009.7,45.44,18.86,70353.52,5.0,208.0,514.5,2024,5,135,9,0,0,70353.52
38,2024-05-15 09:10:00,6.0,0.05,1009.74,46.13,17.89,86816.19,5.0,208.0,858.86,2024,5,135,9,10,0,86816.19
39,2024-05-15 09:20:00,6.0,0.13,1009.85,44.59,19.17,92698.44,5.0,208.0,973.21,2024,5,135,9,20,0,92698.44
40,2024-05-15 09:30:00,6.0,0.99,1009.84,41.9,22.91,98789.31,5.0,208.0,1118.93,2024,5,135,9,30,0,98789.31
41,2024-05-15 09:40:00,6.0,1.77,1009.84,38.54,28.44,101973.91,5.0,208.0,1218.32,2024,5,135,9,40,0,101973.91
42,2024-05-15 09:50:00,6.0,1.56,1009.76,36.91,31.47,97006.45,5.0,208.0,1150.41,2024,5,135,9,50,0,97006.45
43,2024-05-15 10:00:00,6.0,1.12,1009.72,37.42,30.93,92921.43,5.0,208.0,1097.7,2024,5,135,10,0,0,92921.43
44,2024-05-15 10:10:00,6.0,1.52,1009.57,37.64,30.08,93217.38,5.0,208.0,1158.4,2024,5,135,10,10,0,93217.38
